ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
226,226,1,2023-09-25,1,4406,34,230,6,226,1,0
228,228,2,2025-04-02,1,4411,63,287,11,228,1,0
230,230,1,2025-11-23,1,4419,114,33,19,230,1,0
232,232,1,2024-04-13,1,4403,13,320,3,232,1,0
240,240,1,2024-01-04,1,4416,91,38,16,240,1,0
243,243,1,2023-09-16,1,4411,66,367,11,243,1,0
245,245,2,2023-10-23,1,4405,29,386,5,245,1,0
252,252,2,2023-02-10,1,4413,77,165,13,252,1,0
254,254,2,2025-03-20,1,4407,37,71,7,254,1,0
255,255,2,2025-01-07,1,4420,115,98,20,255,1,0
261,261,1,2024-04-23,1,4414,83,200,14,261,1,0
263,263,1,2025-01-09,1,4418,103,15,18,263,1,0
266,266,1,2026-01-13,1,4407,42,163,7,266,1,0
270,270,1,2024-04-10,1,4420,119,127,20,270,1,0
274,274,1,2024-07-12,1,4416,91,19,16,274,1,0
277,277,1,2023-11-06,1,4403,14,382,3,277,1,0
282,282,2,2023-02-26,1,4411,65,342,11,282,1,0
284,284,1,2025-04-11,1,4415,87,297,15,284,1,0
285,285,2,2024-02-13,1,4420,118,67,20,285,1,0
286,286,1,2025-03-20,1,4413,76,208,13,286,1,0
287,287,2,2023-07-12,1,4405,26,400,5,287,1,0
288,288,2,2023-06-21,1,4413,78,206,13,288,1,0
291,291,2,2023-06-01,1,4410,60,31,10,291,1,0
293,293,2,2025-05-26,1,4407,37,71,7,293,1,0
294,294,2,2025-05-08,1,4410,58,378,10,294,1,0
299,299,2,2024-09-10,1,4417,101,95,17,299,1,0
301,301,1,2025-03-28,1,4419,110,85,19,301,1,0
313,313,2,2025-04-19,1,4420,118,375,20,313,1,0
317,317,2,2025-10-11,1,4416,92,227,16,317,1,0
320,320,2,2025-01-13,1,4401,4,34,1,320,1,0
326,326,2,2024-11-25,1,4401,4,34,1,326,1,0
329,329,2,2024-08-27,1,4415,89,45,15,329,1,0
332,332,2,2024-02-27,1,4407,40,142,7,332,1,0
338,338,2,2024-02-29,1,4408,46,10,8,338,1,0
340,340,2,2025-12-05,1,4408,48,41,8,340,1,0
341,341,2,2025-12-22,1,4406,32,12,6,341,1,0
345,345,2,2024-12-31,1,4419,113,171,19,345,1,0
347,347,1,2024-03-16,1,4401,4,34,1,347,1,0
349,349,1,2024-02-20,1,4408,43,379,8,349,1,0
354,354,2,2023-06-24,1,4418,107,296,18,354,1,0
356,356,2,2025-08-08,1,4410,59,88,10,356,1,0
357,357,1,2023-02-03,1,4409,54,64,9,357,1,0
359,359,1,2024-04-27,1,4414,83,200,14,359,1,0
362,362,1,2023-07-04,1,4413,73,143,13,362,1,0
366,366,1,2023-06-22,1,4414,84,176,14,366,1,0
367,367,2,2025-07-20,1,4403,14,101,3,367,1,0
374,374,1,2023-07-21,1,4410,56,201,10,374,1,0
375,375,2,2024-09-16,1,4416,92,227,16,375,1,0
376,376,2,2024-10-16,1,4414,79,136,14,376,1,0
379,379,1,2023-05-11,1,4412,68,63,12,379,1,0
382,382,2,2025-08-20,1,4417,102,185,17,382,1,0
383,383,2,2025-08-02,1,4412,71,244,12,383,1,0
384,384,2,2025-09-13,1,4403,15,236,3,384,1,0
385,385,2,2025-08-29,1,4411,64,238,11,385,1,0
386,386,2,2024-01-03,1,4404,21,8,4,386,1,0
387,387,2,2024-02-25,1,4406,32,226,6,387,1,0
389,389,2,2025-04-15,1,4414,79,385,14,389,1,0
392,392,2,2024-04-10,1,4417,97,343,17,392,1,0
402,402,2,2023-11-03,1,4417,97,194,17,402,1,0
403,403,2,2023-12-21,1,4404,20,282,4,403,1,0
405,405,1,2024-11-22,1,4419,110,85,19,405,1,0
406,406,2,2024-03-13,1,4410,60,31,10,406,1,0
407,407,1,2023-08-09,1,4413,73,212,13,407,1,0
409,409,2,2025-03-28,1,4406,32,226,6,409,1,0
410,410,2,2025-11-26,1,4401,4,34,1,410,1,0
411,411,2,2023-08-26,1,4411,62,332,11,411,1,0
416,416,2,2024-02-04,1,4407,37,324,7,416,1,0
417,417,2,2024-11-06,1,4411,63,113,11,417,1,0
419,419,1,2025-08-18,1,4411,64,336,11,419,1,0
421,421,2,2024-11-05,1,4404,19,118,4,421,1,0
423,423,1,2025-03-14,1,4403,14,101,3,423,1,0
425,425,2,2025-03-13,1,4403,16,102,3,425,1,0
427,427,2,2024-06-03,1,4415,89,258,15,427,1,0
430,430,1,2025-02-13,1,4419,111,105,19,430,1,0
435,435,2,2025-07-11,1,4419,113,383,19,435,1,0
436,436,2,2026-01-15,1,4410,60,248,10,436,1,0
437,437,1,2024-02-03,1,4404,20,282,4,437,1,0
438,438,2,2023-12-14,1,4406,33,344,6,438,1,0
440,440,2,2025-03-05,1,4412,70,221,12,440,1,0
441,441,2,2023-04-19,1,4419,112,103,19,441,1,0
442,442,2,2023-06-23,1,4410,60,248,10,442,1,0
446,446,1,2023-11-18,1,4415,90,255,15,446,1,0
447,447,1,2024-11-23,1,4405,27,114,5,447,1,0
452,452,1,2023-12-08,1,4406,32,68,6,452,1,0
456,456,2,2024-04-30,1,4417,97,194,17,456,1,0
457,457,1,2023-11-12,1,4405,26,400,5,457,1,0
459,459,2,2025-12-16,1,4404,22,197,4,459,1,0
464,464,2,2024-11-29,1,4409,49,309,9,464,1,0
465,465,2,2024-07-03,1,4401,3,82,1,465,1,0
467,467,1,2025-06-25,1,4408,46,10,8,467,1,0
470,470,2,2023-11-28,1,4415,88,289,15,470,1,0
471,471,2,2025-11-13,1,4403,13,108,3,471,1,0
477,477,2,2024-07-23,1,4403,18,305,3,477,1,0
483,483,2,2024-01-09,1,4410,60,248,10,483,1,0
484,484,1,2025-01-17,1,4420,115,223,20,484,1,0
488,488,2,2024-11-21,1,4408,43,379,8,488,1,0
489,489,1,2024-07-26,1,4401,3,82,1,489,1,0
499,499,2,2025-02-11,1,4418,106,203,18,499,1,0
500,500,1,2024-01-09,1,4415,85,155,15,500,1,0
506,506,2,2025-06-17,1,4408,45,250,8,506,1,0
507,507,2,2025-03-08,1,4402,9,69,2,507,1,0
515,515,1,2025-04-09,1,4411,66,367,11,515,1,0
516,516,1,2023-02-18,1,4419,109,91,19,516,1,0
517,517,2,2024-11-12,1,4402,7,56,2,517,1,0
520,520,1,2025-03-12,1,4401,3,331,1,520,1,0
524,524,2,2024-11-17,1,4411,61,241,11,524,1,0
530,530,1,2025-12-04,1,4410,58,378,10,530,1,0
533,533,2,2023-12-07,1,4419,110,72,19,533,1,0
534,534,2,2023-03-25,1,4407,38,237,7,534,1,0
536,536,2,2025-08-01,1,4409,50,313,9,536,1,0
538,538,1,2023-07-24,1,4418,103,15,18,538,1,0
540,540,1,2025-10-20,1,4419,112,103,19,540,1,0
541,541,1,2023-09-04,1,4401,3,137,1,541,1,0
542,542,1,2023-09-22,1,4403,16,294,3,542,1,0
546,546,2,2024-12-06,1,4410,60,248,10,546,1,0
547,547,1,2025-07-12,1,4419,112,103,19,547,1,0
548,548,2,2025-06-04,1,4416,94,392,16,548,1,0
550,550,1,2025-12-26,1,4410,57,302,10,550,1,0
552,552,1,2025-02-17,1,4413,76,154,13,552,1,0
553,553,1,2023-11-10,1,4401,2,86,1,553,1,0
555,555,1,2025-04-25,1,4407,42,163,7,555,1,0
563,563,2,2024-03-24,1,4417,97,343,17,563,1,0
570,570,2,2024-08-15,1,4403,16,149,3,570,1,0
573,573,2,2024-05-19,1,4415,89,258,15,573,1,0
577,577,2,2024-03-26,1,4411,64,340,11,577,1,0
582,582,1,2024-11-09,1,4420,118,67,20,582,1,0
585,585,1,2025-01-05,1,4406,33,344,6,585,1,0
589,589,2,2024-03-11,1,4417,101,95,17,589,1,0
590,590,1,2026-01-02,1,4417,101,95,17,590,1,0
591,591,2,2024-04-24,1,4414,79,23,14,591,1,0
593,593,2,2023-08-31,1,4418,104,150,18,593,1,0
595,595,1,2025-07-30,1,4409,49,309,9,595,1,0
597,597,1,2025-05-02,1,4414,83,200,14,597,1,0
598,598,2,2025-01-12,1,4408,43,379,8,598,1,0
599,599,2,2023-03-10,1,4418,107,170,18,599,1,0
600,600,1,2024-09-11,1,4412,67,370,12,600,1,0
601,601,2,2024-04-27,1,4405,30,396,5,601,1,0
602,602,1,2023-01-29,1,4417,101,95,17,602,1,0
603,603,2,2023-09-23,1,4401,2,86,1,603,1,0
605,605,1,2023-10-08,1,4419,113,307,19,605,1,0
606,606,1,2023-02-25,1,4401,5,276,1,606,1,0
607,607,2,2024-05-16,1,4405,29,393,5,607,1,0
611,611,2,2025-05-12,1,4405,26,400,5,611,1,0
612,612,1,2024-05-22,1,4413,73,143,13,612,1,0
613,613,2,2023-08-19,1,4414,80,397,14,613,1,0
616,616,2,2023-02-20,1,4401,1,53,1,616,1,0
617,617,2,2024-02-26,1,4420,118,375,20,617,1,0
621,621,2,2023-06-23,1,4420,120,138,20,621,1,0
623,623,2,2025-10-05,1,4419,114,33,19,623,1,0
625,625,1,2023-04-14,1,4402,9,69,2,625,1,0
626,626,2,2025-02-14,1,4409,52,74,9,626,1,0
628,628,2,2024-06-16,1,4406,32,68,6,628,1,0
629,629,1,2024-10-17,1,4417,97,194,17,629,1,0
633,633,1,2023-11-01,1,4404,24,124,4,633,1,0
635,635,2,2023-01-28,1,4417,99,315,17,635,1,0
640,640,2,2025-03-21,1,4402,7,56,2,640,1,0
642,642,1,2025-07-06,1,4418,104,27,18,642,1,0
644,644,1,2025-05-15,1,4406,31,76,6,644,1,0
647,647,1,2025-01-22,1,4417,97,194,17,647,1,0
648,648,1,2023-11-21,1,4419,113,7,19,648,1,0
660,660,1,2025-05-29,1,4416,95,178,16,660,1,0
663,663,2,2024-05-05,1,4402,11,215,2,663,1,0
671,671,2,2024-02-20,1,4410,59,87,10,671,1,0
675,675,1,2023-12-04,1,4418,106,233,18,675,1,0
677,677,1,2023-01-23,1,4414,82,205,14,677,1,0
681,681,2,2024-03-01,1,4408,43,379,8,681,1,0
682,682,1,2023-10-27,1,4412,71,391,12,682,1,0
684,684,2,2025-06-01,1,4414,83,200,14,684,1,0
685,685,1,2025-10-20,1,4404,22,197,4,685,1,0
686,686,2,2025-08-29,1,4406,32,68,6,686,1,0
691,691,1,2025-08-14,1,4404,24,124,4,691,1,0
692,692,2,2026-01-08,1,4405,26,400,5,692,1,0
693,693,1,2024-08-26,1,4410,60,248,10,693,1,0
696,696,2,2023-12-14,1,4402,10,75,2,696,1,0
699,699,2,2023-09-16,1,4401,4,34,1,699,1,0
702,702,1,2025-06-29,1,4404,20,282,4,702,1,0
706,706,2,2025-10-17,1,4410,58,144,10,706,1,0
712,712,1,2024-01-18,1,4411,62,70,11,712,1,0
714,714,1,2024-06-20,1,4402,10,233,2,714,1,0
715,715,1,2025-02-21,1,4414,84,369,14,715,1,0
717,717,1,2025-10-05,1,4414,81,65,14,717,1,0
720,720,2,2023-05-27,1,4416,94,145,16,720,1,0
721,721,1,2024-01-24,1,4404,22,197,4,721,1,0
723,723,1,2023-05-19,1,4403,13,108,3,723,1,0
725,725,1,2024-07-03,1,4414,79,23,14,725,1,0
726,726,1,2025-04-08,1,4408,47,191,8,726,1,0
727,727,1,2023-12-27,1,4414,80,397,14,727,1,0
728,728,2,2025-02-18,1,4409,50,188,9,728,1,0
734,734,1,2023-04-12,1,4420,119,389,20,734,1,0
736,736,2,2026-01-30,1,4402,7,56,2,736,1,0
737,737,2,2025-03-22,1,4417,100,210,17,737,1,0
740,740,1,2024-02-10,1,4404,22,197,4,740,1,0
755,755,2,2024-10-31,1,4403,18,94,3,755,1,0
756,756,2,2025-11-27,1,4404,21,97,4,756,1,0
758,758,1,2024-04-10,1,4402,9,26,2,758,1,0
763,763,2,2024-02-01,1,4403,13,322,3,763,1,0
764,764,1,2023-04-12,1,4407,42,29,7,764,1,0
769,769,1,2024-06-08,1,4416,94,231,16,769,1,0
773,773,1,2023-09-08,1,4402,11,35,2,773,1,0
774,774,2,2025-01-24,1,4419,111,242,19,774,1,0
776,776,1,2024-10-02,1,4417,102,8,17,776,1,0
778,778,1,2023-02-03,1,4401,3,331,1,778,1,0
783,783,1,2025-04-08,1,4405,29,393,5,783,1,0
784,784,2,2024-10-02,1,4408,46,10,8,784,1,0
792,792,2,2024-10-23,1,4404,20,282,4,792,1,0
796,796,2,2023-04-11,1,4418,107,182,18,796,1,0
797,797,1,2024-04-06,1,4419,111,105,19,797,1,0
798,798,1,2024-02-14,1,4413,74,239,13,798,1,0
799,799,1,2024-08-26,1,4417,100,47,17,799,1,0
801,801,2,2024-04-24,1,4404,23,129,4,801,1,0
802,802,1,2024-04-10,1,4405,28,360,5,802,1,0
805,805,2,2023-05-16,1,4408,48,240,8,805,1,0
812,812,2,2024-09-02,1,4410,60,31,10,812,1,0
814,814,2,2025-06-10,1,4419,113,151,19,814,1,0
817,817,1,2024-07-25,1,4409,52,74,9,817,1,0
819,819,2,2025-09-15,1,4404,21,298,4,819,1,0
821,821,1,2025-12-26,1,4411,62,70,11,821,1,0
828,828,2,2023-05-09,1,4406,35,211,6,828,1,0
830,830,2,2025-10-31,1,4404,24,199,4,830,1,0
834,834,2,2023-11-09,1,4404,24,124,4,834,1,0
836,836,1,2023-02-06,1,4417,97,194,17,836,1,0
842,842,2,2023-02-01,1,4402,8,180,2,842,1,0
845,845,2,2023-08-31,1,4415,89,258,15,845,1,0
846,846,1,2023-01-13,1,4418,104,27,18,846,1,0
851,851,2,2025-03-19,1,4405,30,396,5,851,1,0
853,853,2,2025-04-18,1,4405,25,354,5,853,1,0
854,854,2,2025-07-17,1,4414,80,397,14,854,1,0
855,855,2,2025-08-01,1,4413,75,312,13,855,1,0
856,856,2,2024-03-26,1,4415,89,45,15,856,1,0
857,857,1,2023-03-30,1,4411,64,238,11,857,1,0
858,858,2,2024-02-19,1,4401,6,167,1,858,1,0
859,859,1,2024-04-06,1,4410,56,201,10,859,1,0
860,860,1,2024-09-07,1,4418,105,141,18,860,1,0
862,862,1,2025-02-22,1,4412,72,311,12,862,1,0
872,872,1,2025-01-08,1,4404,19,316,4,872,1,0
874,874,2,2024-12-03,1,4419,113,252,19,874,1,0
877,877,2,2025-04-07,1,4416,94,145,16,877,1,0
879,879,2,2025-05-16,1,4405,29,32,5,879,1,0
880,880,2,2023-07-09,1,4411,66,319,11,880,1,0
881,881,2,2023-03-31,1,4404,21,28,4,881,1,0
884,884,2,2025-09-17,1,4405,25,211,5,884,1,0
886,886,1,2023-01-21,1,4412,70,221,12,886,1,0
890,890,1,2023-01-19,1,4401,1,243,1,890,1,0
891,891,2,2024-04-24,1,4409,54,13,9,891,1,0
892,892,2,2024-05-14,1,4407,42,361,7,892,1,0
895,895,1,2023-10-15,1,4407,37,327,7,895,1,0
897,897,1,2023-06-19,1,4419,113,252,19,897,1,0
899,899,1,2024-07-27,1,4401,3,137,1,899,1,0
900,900,2,2024-10-11,1,4401,6,364,1,900,1,0
903,903,1,2023-07-13,1,4415,86,256,15,903,1,0
905,905,1,2023-12-11,1,4414,80,397,14,905,1,0
906,906,1,2024-09-01,1,4418,104,27,18,906,1,0
909,909,2,2023-08-10,1,4408,44,116,8,909,1,0
913,913,2,2023-11-26,1,4415,90,255,15,913,1,0
917,917,1,2025-02-18,1,4420,118,67,20,917,1,0
919,919,1,2025-04-30,1,4420,115,98,20,919,1,0
922,922,2,2025-08-19,1,4418,107,182,18,922,1,0
924,924,2,2026-01-03,1,4413,75,18,13,924,1,0
929,929,2,2025-03-22,1,4407,40,43,7,929,1,0
931,931,1,2024-12-24,1,4413,74,189,13,931,1,0
934,934,1,2025-09-30,1,4404,24,124,4,934,1,0
941,941,2,2026-01-12,1,4412,68,63,12,941,1,0
942,942,2,2025-12-23,1,4409,53,352,9,942,1,0
945,945,1,2025-11-03,1,4407,40,142,7,945,1,0
950,950,1,2023-07-12,1,4406,34,160,6,950,1,0
956,956,2,2024-07-17,1,4404,24,199,4,956,1,0
957,957,1,2025-02-12,1,4403,13,108,3,957,1,0
960,960,2,2024-11-30,1,4404,20,282,4,960,1,0
964,964,1,2023-02-11,1,4416,96,253,16,964,1,0
968,968,1,2023-07-14,1,4420,119,6,20,968,1,0
972,972,1,2024-03-04,1,4409,53,24,9,972,1,0
973,973,1,2024-12-11,1,4419,110,326,19,973,1,0
977,977,2,2025-10-23,1,4409,52,74,9,977,1,0
981,981,2,2023-09-25,1,4407,41,92,7,981,1,0
983,983,1,2025-08-14,1,4406,32,226,6,983,1,0
992,992,1,2025-06-03,1,4415,87,297,15,992,1,0
993,993,2,2023-05-13,1,4401,2,337,1,993,1,0
997,997,2,2023-11-22,1,4413,74,189,13,997,1,0
998,998,2,2025-05-03,1,4420,120,138,20,998,1,0
1003,1003,2,2023-12-07,1,4411,62,70,11,1003,1,0
1005,1005,1,2025-07-17,1,4412,67,36,12,1005,1,0
1006,1006,1,2024-11-07,1,4403,13,322,3,1006,1,0
1010,1010,1,2025-01-14,1,4402,12,349,2,1010,1,0
1012,1012,1,2023-11-24,1,4401,1,53,1,1012,1,0
1016,1016,2,2023-12-21,1,4418,105,356,18,1016,1,0
1020,1020,1,2024-05-08,1,4413,75,18,13,1020,1,0
1025,1025,2,2025-08-04,1,4415,88,289,15,1025,1,0
1026,1026,2,2023-07-13,1,4401,6,207,1,1026,1,0
1037,1037,2,2025-11-12,1,4402,7,56,2,1037,1,0
1041,1041,1,2023-09-30,1,4416,96,186,16,1041,1,0
1043,1043,1,2025-11-15,1,4416,91,38,16,1043,1,0
1044,1044,2,2024-09-24,1,4409,53,352,9,1044,1,0
1045,1045,2,2025-07-10,1,4418,105,141,18,1045,1,0
1047,1047,2,2023-04-28,1,4416,94,145,16,1047,1,0
1051,1051,2,2024-08-05,1,4419,110,85,19,1051,1,0
1052,1052,2,2023-02-07,1,4416,94,145,16,1052,1,0
1053,1053,2,2025-01-15,1,4402,7,56,2,1053,1,0
1056,1056,1,2025-05-21,1,4420,120,138,20,1056,1,0
1059,1059,1,2025-08-01,1,4408,46,10,8,1059,1,0
1062,1062,2,2023-03-11,1,4404,19,118,4,1062,1,0
1063,1063,2,2025-08-18,1,4420,118,67,20,1063,1,0
1064,1064,1,2025-10-26,1,4408,48,240,8,1064,1,0
1065,1065,1,2024-04-07,1,4407,40,286,7,1065,1,0
1067,1067,1,2025-07-05,1,4419,110,195,19,1067,1,0
1068,1068,1,2025-01-20,1,4410,55,304,10,1068,1,0
1071,1071,1,2025-04-05,1,4401,2,109,1,1071,1,0
1073,1073,2,2025-03-23,1,4410,58,247,10,1073,1,0
1079,1079,2,2025-02-20,1,4419,111,105,19,1079,1,0
1081,1081,2,2024-05-09,1,4407,39,306,7,1081,1,0
1084,1084,2,2025-05-20,1,4409,52,299,9,1084,1,0
1086,1086,1,2024-02-04,1,4412,70,100,12,1086,1,0
1087,1087,2,2023-06-11,1,4414,80,285,14,1087,1,0
1088,1088,1,2023-04-13,1,4419,114,266,19,1088,1,0
1089,1089,2,2025-12-03,1,4408,48,41,8,1089,1,0
1091,1091,2,2025-02-07,1,4409,51,204,9,1091,1,0
1095,1095,1,2025-06-18,1,4410,60,31,10,1095,1,0
1097,1097,2,2025-06-11,1,4401,1,269,1,1097,1,0
1099,1099,1,2024-07-04,1,4401,3,331,1,1099,1,0
1102,1102,2,2024-04-15,1,4402,10,208,2,1102,1,0
1105,1105,1,2025-10-15,1,4409,50,313,9,1105,1,0
1110,1110,2,2024-04-25,1,4420,115,98,20,1110,1,0
1111,1111,2,2025-07-25,1,4406,36,57,6,1111,1,0
1112,1112,1,2025-11-23,1,4408,43,379,8,1112,1,0
1114,1114,1,2024-07-29,1,4418,105,141,18,1114,1,0
1117,1117,1,2023-09-16,1,4403,18,94,3,1117,1,0
1120,1120,2,2024-09-13,1,4414,80,285,14,1120,1,0
1123,1123,2,2023-04-03,1,4406,32,68,6,1123,1,0
1124,1124,1,2025-11-14,1,4419,113,80,19,1124,1,0
1125,1125,1,2023-11-01,1,4411,65,328,11,1125,1,0
1128,1128,2,2024-05-09,1,4404,22,197,4,1128,1,0
1134,1134,2,2023-10-07,1,4405,26,400,5,1134,1,0
1136,1136,2,2025-11-22,1,4414,82,205,14,1136,1,0
1140,1140,1,2023-08-21,1,4411,66,319,11,1140,1,0
1143,1143,2,2023-05-01,1,4415,90,255,15,1143,1,0
1144,1144,2,2023-11-28,1,4417,100,47,17,1144,1,0
1145,1145,2,2024-01-04,1,4413,75,58,13,1145,1,0
1146,1146,1,2023-02-21,1,4414,82,205,14,1146,1,0
1147,1147,1,2023-08-21,1,4404,21,301,4,1147,1,0
1148,1148,1,2025-11-09,1,4403,15,236,3,1148,1,0
1149,1149,1,2024-10-27,1,4401,1,269,1,1149,1,0
1150,1150,1,2025-12-05,1,4404,22,197,4,1150,1,0
1151,1151,1,2023-03-10,1,4416,95,11,16,1151,1,0
1155,1155,1,2024-01-29,1,4401,4,34,1,1155,1,0
1157,1157,2,2025-10-20,1,4405,25,257,5,1157,1,0
1158,1158,2,2025-04-08,1,4420,115,310,20,1158,1,0
1164,1164,2,2023-11-08,1,4414,80,397,14,1164,1,0
1167,1167,1,2024-09-27,1,4417,98,387,17,1167,1,0
1168,1168,2,2025-05-28,1,4409,51,204,9,1168,1,0
1172,1172,2,2023-12-23,1,4413,73,212,13,1172,1,0
1182,1182,1,2024-05-10,1,4409,53,377,9,1182,1,0
1185,1185,1,2024-02-16,1,4402,8,220,2,1185,1,0
1188,1188,2,2025-01-10,1,4409,51,204,9,1188,1,0
1190,1190,2,2024-12-13,1,4416,94,231,16,1190,1,0
1191,1191,1,2023-07-13,1,4404,21,341,4,1191,1,0
1193,1193,2,2023-11-16,1,4411,65,90,11,1193,1,0
1195,1195,2,2025-08-20,1,4412,72,5,12,1195,1,0
1197,1197,1,2023-05-24,1,4413,77,380,13,1197,1,0
1198,1198,1,2025-07-06,1,4419,112,166,19,1198,1,0
1199,1199,1,2023-04-20,1,4406,32,12,6,1199,1,0
1200,1200,1,2025-03-30,1,4404,23,330,4,1200,1,0
1203,1203,1,2023-07-07,1,4408,47,399,8,1203,1,0
1205,1205,2,2023-06-16,1,4417,101,95,17,1205,1,0
1209,1209,2,2024-02-03,1,4406,35,269,6,1209,1,0
1214,1214,2,2024-10-22,1,4403,17,117,3,1214,1,0
1218,1218,1,2023-10-01,1,4408,44,116,8,1218,1,0
1219,1219,1,2024-01-29,1,4409,49,309,9,1219,1,0
1220,1220,2,2024-10-24,1,4407,41,92,7,1220,1,0
1221,1221,1,2024-07-24,1,4419,110,85,19,1221,1,0
1229,1229,1,2023-05-30,1,4403,17,131,3,1229,1,0
1232,1232,1,2025-01-07,1,4411,64,238,11,1232,1,0
1238,1238,1,2024-07-12,1,4410,56,398,10,1238,1,0
1239,1239,1,2025-02-19,1,4416,93,130,16,1239,1,0
1240,1240,2,2023-07-07,1,4409,50,188,9,1240,1,0
1241,1241,2,2024-04-10,1,4417,99,126,17,1241,1,0
1243,1243,1,2025-05-26,1,4415,85,115,15,1243,1,0
1248,1248,2,2023-06-27,1,4411,65,328,11,1248,1,0
1250,1250,1,2025-03-18,1,4413,73,143,13,1250,1,0
