CSID,CaseMasterID,csdate,cstype,PolicePersonID
324,324,2024-08-29,A,253
332,332,2024-04-05,A,142
334,334,2025-06-10,A,281
336,336,2024-04-05,A,99
337,337,2024-07-07,A,265
338,338,2024-03-23,A,10
340,340,2026-01-27,A,41
341,341,2026-02-28,A,12
343,343,2024-02-18,A,138
345,345,2025-02-13,A,171
346,346,2025-02-17,A,250
349,349,2024-03-14,A,379
351,351,2024-12-28,A,400
354,354,2023-08-26,A,296
356,356,2025-10-15,A,88
357,357,2023-04-23,A,64
362,362,2023-08-13,A,143
366,366,2023-07-01,A,176
372,372,2025-03-15,A,24
374,374,2023-08-22,A,201
375,375,2024-10-21,A,227
381,381,2023-08-19,A,54
382,382,2025-09-21,A,185
383,383,2025-08-29,A,244
384,384,2025-10-27,A,236
386,386,2024-02-25,A,8
387,387,2024-03-24,A,226
388,388,2023-10-05,A,248
389,389,2025-06-10,A,385
392,392,2024-05-12,A,343
396,396,2023-09-12,A,297
400,400,2024-10-23,A,43
402,402,2024-01-09,A,194
403,403,2024-01-24,A,282
409,409,2025-05-23,A,226
417,417,2025-01-16,A,113
419,419,2025-10-09,A,336
421,421,2024-12-10,A,118
423,423,2025-05-13,A,101
425,425,2025-05-19,A,102
430,430,2025-04-14,A,105
436,436,2026-02-12,A,248
437,437,2024-03-05,A,282
440,440,2025-04-20,A,221
441,441,2023-07-03,A,103
442,442,2023-07-02,A,248
445,445,2023-07-16,A,253
446,446,2024-01-04,A,255
447,447,2024-12-07,A,114
456,456,2024-07-02,A,194
457,457,2023-12-24,A,400
458,458,2025-06-08,A,231
459,459,2026-02-27,A,197
461,461,2026-03-23,A,15
467,467,2025-07-13,A,10
471,471,2025-12-16,A,108
472,472,2024-02-05,A,278
474,474,2023-04-06,A,268
476,476,2024-05-12,A,187
483,483,2024-02-19,A,248
489,489,2024-09-01,A,82
494,494,2024-02-07,A,379
496,496,2025-11-24,A,297
499,499,2025-05-07,A,203
505,505,2023-07-23,A,306
506,506,2025-07-29,A,250
507,507,2025-04-20,A,69
516,516,2023-04-16,A,91
517,517,2024-11-30,A,56
520,520,2025-04-11,A,331
524,524,2025-01-16,A,241
533,533,2024-02-20,A,72
536,536,2025-09-04,A,313
538,538,2023-09-16,A,15
542,542,2023-11-01,A,294
543,543,2024-08-24,A,26
546,546,2025-01-21,A,248
548,548,2025-07-17,A,392
550,550,2026-03-04,A,302
552,552,2025-04-13,A,154
553,553,2023-12-16,A,86
555,555,2025-07-07,A,163
563,563,2024-04-09,A,343
570,570,2024-10-31,A,149
571,571,2025-04-10,A,3
573,573,2024-07-08,A,258
575,575,2023-06-24,A,51
584,584,2026-02-23,A,307
585,585,2025-02-08,A,344
589,589,2024-05-01,A,95
593,593,2023-11-06,A,150
595,595,2025-10-11,A,309
597,597,2025-05-06,A,200
598,598,2025-03-03,A,379
599,599,2023-05-10,A,170
601,601,2024-07-05,A,396
602,602,2023-03-31,A,95
607,607,2024-06-29,A,393
612,612,2024-07-14,A,143
620,620,2026-02-28,A,114
621,621,2023-08-17,A,138
623,623,2025-10-29,A,33
625,625,2023-05-10,A,69
626,626,2025-03-19,A,74
628,628,2024-07-03,A,68
631,631,2024-09-03,A,300
633,633,2023-11-29,A,124
638,638,2025-12-03,A,68
640,640,2025-04-12,A,56
643,643,2023-04-14,A,282
648,648,2023-12-09,A,7
651,651,2026-03-16,A,307
656,656,2025-03-29,A,178
658,658,2023-03-31,A,126
659,659,2024-05-20,A,107
660,660,2025-08-07,A,178
662,662,2023-07-06,A,139
665,665,2025-03-29,A,364
670,670,2025-04-16,A,19
674,674,2026-02-20,A,187
676,676,2024-10-15,A,227
677,677,2023-03-05,A,205
680,680,2023-10-07,A,230
682,682,2023-12-02,A,391
684,684,2025-07-19,A,200
685,685,2025-11-09,A,197
696,696,2024-02-07,A,75
702,702,2025-08-04,A,282
706,706,2025-12-09,A,144
712,712,2024-03-20,A,70
714,714,2024-07-30,A,233
715,715,2025-03-20,A,369
717,717,2025-12-03,A,65
720,720,2023-07-16,A,145
721,721,2024-03-05,A,197
723,723,2023-07-07,A,108
725,725,2024-07-28,A,23
726,726,2025-06-21,A,191
727,727,2024-02-04,A,397
732,732,2023-07-22,A,365
733,733,2024-01-10,A,247
736,736,2026-03-03,A,56
740,740,2024-03-03,A,197
743,743,2025-08-03,A,332
754,754,2025-09-12,A,239
755,755,2024-11-30,A,94
756,756,2026-02-01,A,97
758,758,2024-04-26,A,26
761,761,2023-12-08,A,231
768,768,2025-03-12,A,20
769,769,2024-07-06,A,231
774,774,2025-04-04,A,242
785,785,2025-01-14,A,114
787,787,2023-05-06,A,50
797,797,2024-06-08,A,105
801,801,2024-05-16,A,129
812,812,2024-09-22,A,31
814,814,2025-07-21,A,151
821,821,2026-03-02,A,70
823,823,2025-07-08,A,248
824,824,2023-05-16,A,32
827,827,2023-06-21,A,268
828,828,2023-05-29,A,211
831,831,2023-07-12,A,257
833,833,2025-12-15,A,334
834,834,2023-12-08,A,124
836,836,2023-03-23,A,194
837,837,2024-12-01,A,361
842,842,2023-03-29,A,180
845,845,2023-10-13,A,258
846,846,2023-02-19,A,27
847,847,2023-04-03,A,185
851,851,2025-04-27,A,396
854,854,2025-09-06,A,397
855,855,2025-09-11,A,312
856,856,2024-03-28,A,45
857,857,2023-04-19,A,238
859,859,2024-05-08,A,201
862,862,2025-03-29,A,311
872,872,2025-02-12,A,316
874,874,2025-02-01,A,252
875,875,2025-01-10,A,63
877,877,2025-05-15,A,145
879,879,2025-08-01,A,32
880,880,2023-08-16,A,319
884,884,2025-10-08,A,211
886,886,2023-02-22,A,221
888,888,2025-01-22,A,36
889,889,2025-12-25,A,264
890,890,2023-04-17,A,243
891,891,2024-06-26,A,13
892,892,2024-07-30,A,361
895,895,2023-12-25,A,327
900,900,2024-12-01,A,364
903,903,2023-09-07,A,256
906,906,2024-10-25,A,27
907,907,2026-01-02,A,341
909,909,2023-10-08,A,116
911,911,2023-11-18,A,333
913,913,2024-02-17,A,255
918,918,2023-12-14,A,164
929,929,2025-04-18,A,43
931,931,2025-02-10,A,189
935,935,2024-02-11,A,204
941,941,2026-02-02,A,63
945,945,2025-11-09,A,142
951,951,2024-04-18,A,161
956,956,2024-08-16,A,199
957,957,2025-03-30,A,108
964,964,2023-03-19,A,253
968,968,2023-07-24,A,6
972,972,2024-03-25,A,24
977,977,2025-12-07,A,74
981,981,2023-11-11,A,92
984,984,2023-04-20,A,138
989,989,2023-07-05,A,331
997,997,2023-12-26,A,189
998,998,2025-06-23,A,138
999,999,2023-07-23,A,114
1003,1003,2024-01-20,A,70
1005,1005,2025-08-20,A,36
1006,1006,2024-11-09,A,322
1012,1012,2023-12-31,A,53
1016,1016,2023-12-30,A,356
1020,1020,2024-06-05,A,18
1022,1022,2025-08-07,A,44
1024,1024,2024-03-02,A,115
1025,1025,2025-08-16,A,289
1026,1026,2023-08-31,A,207
1034,1034,2023-11-11,A,238
1041,1041,2023-12-07,A,186
1043,1043,2025-12-04,A,38
1044,1044,2024-12-13,A,352
1045,1045,2025-09-24,A,141
1047,1047,2023-05-24,A,145
1049,1049,2023-07-01,A,332
1051,1051,2024-09-24,A,85
1052,1052,2023-03-10,A,145
1059,1059,2025-09-30,A,10
1063,1063,2025-08-21,A,67
1068,1068,2025-02-20,A,304
1069,1069,2024-04-09,A,267
1073,1073,2025-05-11,A,247
1079,1079,2025-04-02,A,105
1086,1086,2024-03-30,A,100
1087,1087,2023-08-28,A,285
1092,1092,2026-02-10,A,242
1096,1096,2026-02-08,A,371
1099,1099,2024-09-02,A,331
1102,1102,2024-05-14,A,208
1108,1108,2024-06-21,A,80
1110,1110,2024-05-06,A,98
1111,1111,2025-10-13,A,57
1114,1114,2024-09-13,A,141
1119,1119,2025-01-17,A,373
1120,1120,2024-10-30,A,285
1124,1124,2025-11-22,A,80
1128,1128,2024-06-15,A,197
1130,1130,2023-12-04,A,187
1136,1136,2025-12-07,A,205
1143,1143,2023-05-25,A,255
1144,1144,2024-01-12,A,47
1147,1147,2023-09-27,A,301
1148,1148,2026-01-16,A,236
1149,1149,2024-12-25,A,269
1150,1150,2025-12-26,A,197
1151,1151,2023-05-28,A,11
1155,1155,2024-04-21,A,34
1164,1164,2023-11-20,A,397
1167,1167,2024-12-24,A,387
1168,1168,2025-07-02,A,204
1172,1172,2024-01-16,A,212
1175,1175,2024-03-10,A,239
1182,1182,2024-06-24,A,377
1185,1185,2024-04-11,A,220
1188,1188,2025-03-07,A,204
1190,1190,2025-01-28,A,231
1193,1193,2024-01-17,A,90
1195,1195,2025-11-09,A,5
1199,1199,2023-06-22,A,12
1200,1200,2025-06-11,A,330
1203,1203,2023-08-03,A,399
1205,1205,2023-07-29,A,95
1209,1209,2024-03-18,A,269
1210,1210,2024-05-27,A,206
1212,1212,2025-11-08,A,68
1217,1217,2023-06-24,A,232
1218,1218,2023-11-27,A,116
1220,1220,2025-01-07,A,92
1221,1221,2024-10-16,A,85
1232,1232,2025-03-07,A,238
1233,1233,2025-10-03,A,376
1238,1238,2024-08-14,A,398
1239,1239,2025-04-12,A,130
1240,1240,2023-08-14,A,188
1242,1242,2024-01-03,A,235
1243,1243,2025-06-13,A,115
1249,1249,2024-09-14,A,71
1250,1250,2025-04-09,A,143
1252,1252,2024-10-31,A,101
1255,1255,2026-02-18,A,370
1256,1256,2023-10-18,A,165
1258,1258,2025-05-20,A,231
1262,1262,2025-05-01,A,18
1271,1271,2025-05-29,A,387
1272,1272,2025-07-10,A,283
1275,1275,2025-01-31,A,332
1280,1280,2025-06-14,A,56
1282,1282,2025-10-09,A,148
1291,1291,2025-07-03,A,98
1293,1293,2024-06-06,A,225
1300,1300,2023-10-05,A,241
1301,1301,2024-08-01,A,194
1303,1303,2024-01-09,A,23
1308,1308,2024-06-22,A,327
1312,1312,2025-08-21,A,155
1313,1313,2024-06-30,A,16
1317,1317,2024-08-31,A,148
1326,1326,2025-05-22,A,335
1328,1328,2025-12-03,A,299
1332,1332,2025-02-11,A,7
1339,1339,2024-11-30,A,289
1340,1340,2024-01-04,A,140
1343,1343,2025-08-21,A,114
1344,1344,2025-01-21,A,105
1345,1345,2024-02-04,A,41
1346,1346,2023-09-05,A,288
1348,1348,2024-12-23,A,364
1355,1355,2023-04-23,A,256
1360,1360,2024-05-05,A,343
1362,1362,2025-04-13,A,70
1364,1364,2023-03-27,A,96
1366,1366,2025-05-08,A,74
1367,1367,2023-11-29,A,85
1371,1371,2025-01-03,A,370
1378,1378,2026-02-25,A,379
1379,1379,2024-03-18,A,220
1381,1381,2024-09-02,A,101
1382,1382,2023-11-09,A,256
1385,1385,2023-09-06,A,330
1388,1388,2023-08-30,A,393
1392,1392,2023-04-23,A,368
1396,1396,2025-08-31,A,96
1399,1399,2025-10-10,A,34
1402,1402,2023-12-05,A,71
1406,1406,2023-07-03,A,288
1408,1408,2026-03-21,A,235
1416,1416,2025-02-05,A,114
1417,1417,2023-07-03,A,319
1424,1424,2023-05-10,A,52
1425,1425,2025-12-10,A,238
1429,1429,2025-01-08,A,138
1431,1431,2025-04-10,A,302
1432,1432,2025-08-20,A,319
1433,1433,2025-08-29,A,360
1434,1434,2025-07-23,A,310
1437,1437,2023-05-28,A,267
1442,1442,2026-01-23,A,143
1443,1443,2025-12-05,A,324
1445,1445,2025-06-01,A,265
1452,1452,2024-07-17,A,308
1456,1456,2025-05-21,A,21
1459,1459,2023-04-06,A,352
1462,1462,2023-08-02,A,20
1465,1465,2026-02-08,A,309
1467,1467,2023-06-26,A,253
1468,1468,2025-05-23,A,342
1469,1469,2026-01-28,A,220
1470,1470,2023-11-14,A,349
1478,1478,2025-03-08,A,309
1480,1480,2025-03-25,A,137
1482,1482,2023-05-04,A,330
1491,1491,2023-10-16,A,388
1494,1494,2023-08-20,A,285
1500,1500,2023-07-28,A,18
1501,1501,2025-10-25,A,379
1502,1502,2023-07-25,A,271
1506,1506,2025-07-12,A,218
1509,1509,2023-10-22,A,289
1510,1510,2026-02-09,A,147
1517,1517,2025-07-04,A,357
1526,1526,2025-05-03,A,340
1527,1527,2025-01-01,A,391
1528,1528,2024-11-22,A,61
1529,1529,2025-07-02,A,83
1531,1531,2025-03-21,A,94
1532,1532,2024-06-23,A,221
1534,1534,2024-08-12,A,379
1537,1537,2024-04-30,A,52
1542,1542,2024-10-01,A,126
1544,1544,2025-11-24,A,282
1545,1545,2023-05-20,A,312
1547,1547,2023-12-08,A,331
1552,1552,2024-04-03,A,311
1553,1553,2024-05-23,A,341
1559,1559,2023-11-15,A,255
1570,1570,2025-08-29,A,387
1571,1571,2025-08-29,A,349
1573,1573,2025-10-01,A,349
1574,1574,2025-05-30,A,167
1579,1579,2025-06-10,A,56
1580,1580,2023-11-08,A,69
1582,1582,2024-11-20,A,236
1584,1584,2023-11-24,A,197
1585,1585,2025-05-08,A,94
1587,1587,2025-08-30,A,384
1589,1589,2025-03-03,A,127
1590,1590,2024-06-20,A,268
1592,1592,2025-02-11,A,166
1593,1593,2024-01-20,A,252
1594,1594,2025-01-28,A,126
1596,1596,2025-02-18,A,138
1601,1601,2025-04-11,A,264
1603,1603,2024-12-31,A,363
1604,1604,2025-04-14,A,34
1615,1615,2025-01-22,A,388
1618,1618,2023-04-13,A,33
1628,1628,2024-01-15,A,225
1630,1630,2024-06-02,A,10
1637,1637,2024-08-15,A,363
1638,1638,2025-01-21,A,38
1642,1642,2024-01-24,A,197
1645,1645,2024-04-05,A,289
1646,1646,2023-10-29,A,77
1651,1651,2023-07-28,A,34
1653,1653,2023-08-03,A,331
1654,1654,2023-11-09,A,302
1656,1656,2024-12-16,A,259
1663,1663,2024-03-09,A,160
1669,1669,2025-06-12,A,246
1672,1672,2024-08-27,A,67
1674,1674,2024-04-13,A,59
1687,1687,2024-06-20,A,50
1689,1689,2024-09-13,A,35
1694,1694,2024-12-02,A,152
1695,1695,2023-06-07,A,307
1696,1696,2024-11-15,A,263
1698,1698,2025-02-01,A,85
1701,1701,2024-01-06,A,298
1703,1703,2024-04-26,A,352
1704,1704,2023-04-22,A,368
1706,1706,2024-04-02,A,215
1707,1707,2025-04-28,A,194
1708,1708,2025-03-14,A,13
1709,1709,2024-01-28,A,308
1713,1713,2025-01-20,A,296
1716,1716,2025-06-26,A,318
1718,1718,2025-07-28,A,13
1720,1720,2024-06-25,A,10
1722,1722,2025-06-06,A,36
1723,1723,2025-04-24,A,143
1727,1727,2024-08-19,A,87
1728,1728,2025-05-28,A,10
1729,1729,2025-11-28,A,294
1738,1738,2025-08-20,A,114
1739,1739,2024-05-06,A,316
1751,1751,2024-11-26,A,296
1752,1752,2025-01-29,A,302
1755,1755,2025-05-03,A,289
1757,1757,2025-07-13,A,400
1763,1763,2024-06-21,A,180
1767,1767,2023-04-23,A,380
1768,1768,2024-06-06,A,378
1776,1776,2024-12-02,A,332
1778,1778,2024-09-16,A,300
1785,1785,2025-06-28,A,223
1788,1788,2024-12-15,A,309
1792,1792,2024-07-19,A,48
1795,1795,2024-03-05,A,82
1797,1797,2025-11-15,A,313
1800,1800,2026-02-10,A,65
1801,1801,2023-08-22,A,366
1802,1802,2025-04-05,A,138
1810,1810,2024-06-27,A,12
1816,1816,2025-02-11,A,85
1826,1826,2023-03-18,A,60
1827,1827,2024-04-14,A,360
1828,1828,2025-10-08,A,180
1830,1830,2023-09-08,A,351
1834,1834,2023-03-06,A,194
1839,1839,2023-10-12,A,399
1840,1840,2025-03-11,A,377
1844,1844,2023-04-26,A,388
1845,1845,2024-10-07,A,124
1847,1847,2023-06-07,A,33
1848,1848,2023-07-07,A,194
1850,1850,2025-10-17,A,368
1862,1862,2023-12-14,A,327
1865,1865,2023-04-13,A,312
1867,1867,2025-05-01,A,233
1868,1868,2023-03-08,A,192
1870,1870,2023-03-27,A,355
1872,1872,2024-01-21,A,165
1877,1877,2024-04-23,A,241
1878,1878,2025-02-07,A,331
1879,1879,2024-11-02,A,399
1880,1880,2024-05-22,A,33
1886,1886,2024-05-20,A,118
1891,1891,2023-10-28,A,364
1901,1901,2025-12-26,A,50
1921,1921,2023-09-26,A,65
1922,1922,2024-09-28,A,244
1925,1925,2024-07-31,A,212
1926,1926,2023-06-23,A,155
1927,1927,2025-09-07,A,124
1928,1928,2025-11-17,A,359
1929,1929,2023-07-13,A,194
1938,1938,2023-04-26,A,299
1941,1941,2023-06-04,A,349
1945,1945,2024-03-12,A,111
1946,1946,2023-11-11,A,387
1947,1947,2025-06-28,A,337
1948,1948,2024-05-04,A,189
1950,1950,2023-02-08,A,6
1955,1955,2025-05-04,A,187
1957,1957,2025-12-26,A,105
1960,1960,2026-01-28,A,400
1966,1966,2025-01-09,A,155
1970,1970,2024-08-03,A,380
1974,1974,2024-10-03,A,158
1978,1978,2023-10-02,A,221
1981,1981,2023-11-28,A,257
1987,1987,2024-05-19,A,290
1991,1991,2026-02-24,A,391
1993,1993,2024-09-15,A,19
2001,2001,2024-07-05,A,397
2004,2004,2026-02-20,A,90
2005,2005,2025-12-17,A,204
2015,2015,2025-10-23,A,299
2017,2017,2023-12-16,A,349
2018,2018,2023-06-04,A,131
2022,2022,2025-12-11,A,224
2026,2026,2024-06-03,A,360
2034,2034,2023-07-16,A,56
2036,2036,2023-12-24,A,215
2039,2039,2023-11-13,A,82
2040,2040,2023-04-06,A,170
2042,2042,2025-07-07,A,260
2045,2045,2025-04-11,A,107
2048,2048,2024-07-17,A,106
2053,2053,2024-12-28,A,180
2055,2055,2023-12-28,A,227
2061,2061,2024-08-03,A,207
2062,2062,2023-06-23,A,399
2063,2063,2024-11-05,A,198
2065,2065,2024-12-10,A,13
2068,2068,2023-06-22,A,137
2069,2069,2023-07-23,A,236
2077,2077,2023-07-21,A,391
2078,2078,2024-01-18,A,262
2079,2079,2025-08-24,A,304
2080,2080,2025-06-26,A,278
2082,2082,2025-08-04,A,221
2083,2083,2024-01-08,A,103
2087,2087,2023-12-28,A,147
2090,2090,2023-02-05,A,332
2091,2091,2023-07-26,A,392
2092,2092,2024-12-22,A,349
2093,2093,2024-05-31,A,123
2094,2094,2025-01-13,A,96
2095,2095,2023-03-02,A,298
2098,2098,2024-05-19,A,15
2099,2099,2025-07-06,A,365
2103,2103,2023-12-04,A,233
2106,2106,2024-10-22,A,105
2108,2108,2025-05-10,A,387
2111,2111,2024-06-30,A,309
2112,2112,2025-05-22,A,115
2114,2114,2024-12-27,A,264
2115,2115,2025-05-10,A,296
2116,2116,2024-12-22,A,204
2124,2124,2023-12-12,A,276
2125,2125,2025-09-26,A,302
2129,2129,2024-07-14,A,136
2131,2131,2025-03-09,A,63
2134,2134,2023-03-20,A,14
2135,2135,2024-07-01,A,358
2136,2136,2024-01-31,A,34
2137,2137,2025-06-23,A,111
2139,2139,2024-11-10,A,259
2140,2140,2023-07-11,A,288
2143,2143,2025-03-21,A,101
2145,2145,2025-04-23,A,34
2146,2146,2025-07-01,A,343
2150,2150,2023-05-26,A,368
2151,2151,2025-08-21,A,4
2152,2152,2024-01-24,A,56
2154,2154,2023-08-20,A,278
2155,2155,2025-07-01,A,31
2157,2157,2025-09-07,A,236
2160,2160,2023-09-23,A,278
2162,2162,2025-08-02,A,266
2163,2163,2023-05-06,A,95
2169,2169,2023-07-12,A,118
2170,2170,2026-01-30,A,108
2171,2171,2025-05-31,A,332
2174,2174,2026-02-04,A,387
2178,2178,2023-07-03,A,50
2183,2183,2025-05-29,A,319
2185,2185,2024-09-22,A,63
2186,2186,2023-02-15,A,6
2189,2189,2025-08-30,A,253
2193,2193,2024-09-20,A,87
2198,2198,2023-04-26,A,34
2199,2199,2025-11-13,A,199
2205,2205,2025-04-17,A,197
2210,2210,2025-06-02,A,188
2212,2212,2025-11-02,A,10
2213,2213,2024-02-27,A,175
2215,2215,2025-06-01,A,379
2216,2216,2025-07-07,A,230
2217,2217,2024-03-05,A,200
2220,2220,2025-01-12,A,31
2233,2233,2025-09-17,A,105
2236,2236,2023-06-28,A,291
2239,2239,2025-06-28,A,338
2240,2240,2026-01-07,A,200
2241,2241,2023-12-10,A,89
2242,2242,2024-06-30,A,242
2246,2246,2024-08-02,A,200
2249,2249,2023-08-03,A,35
2254,2254,2023-07-24,A,91
2255,2255,2023-07-05,A,185
2261,2261,2024-03-04,A,189
2264,2264,2024-02-13,A,15
2265,2265,2025-07-16,A,143
2266,2266,2025-10-28,A,105
2270,2270,2025-07-06,A,150
2276,2276,2025-07-19,A,332
2278,2278,2024-06-12,A,355
2286,2286,2025-02-27,A,153
2291,2291,2023-04-26,A,276
2302,2302,2025-02-28,A,62
2306,2306,2025-11-26,A,358
2308,2308,2023-05-04,A,380
2309,2309,2024-04-26,A,242
2311,2311,2026-01-11,A,378
2312,2312,2025-01-05,A,237
2313,2313,2026-02-07,A,253
2315,2315,2024-09-21,A,139
2320,2320,2023-08-24,A,50
2321,2321,2024-06-10,A,359
2323,2323,2025-03-30,A,158
2328,2328,2024-12-25,A,336
2335,2335,2023-05-20,A,365
2337,2337,2025-05-10,A,377
2338,2338,2023-10-25,A,188
2339,2339,2024-11-28,A,85
2345,2345,2024-10-05,A,114
2354,2354,2026-01-09,A,39
2355,2355,2024-08-18,A,85
2357,2357,2026-02-07,A,317
2360,2360,2023-05-25,A,67
2366,2366,2024-10-24,A,127
2371,2371,2023-08-11,A,152
2375,2375,2026-02-24,A,98
2377,2377,2023-06-04,A,268
2378,2378,2024-05-06,A,10
2379,2379,2024-01-10,A,139
2380,2380,2023-05-14,A,95
2383,2383,2024-08-11,A,196
2384,2384,2023-04-12,A,264
2393,2393,2023-02-28,A,388
2396,2396,2024-11-07,A,64
2402,2402,2024-08-23,A,225
2403,2403,2023-05-05,A,70
2409,2409,2024-12-30,A,269
2410,2410,2024-10-18,A,15
2423,2423,2025-05-26,A,216
2424,2424,2025-05-18,A,397
2430,2430,2025-06-25,A,50
2434,2434,2024-02-24,A,5
2439,2439,2023-05-23,A,282
2445,2445,2025-11-04,A,288
2454,2454,2026-01-23,A,114
2459,2459,2024-11-01,A,114
2465,2465,2025-07-08,A,322
2468,2468,2025-06-22,A,282
2469,2469,2025-10-18,A,379
2470,2470,2025-07-07,A,265
2472,2472,2024-10-07,A,327
2474,2474,2024-12-14,A,253
2475,2475,2024-08-17,A,85
2483,2483,2024-12-17,A,391
2487,2487,2025-11-16,A,203
2488,2488,2025-08-21,A,306
2489,2489,2025-03-07,A,395
2490,2490,2025-11-19,A,244
2496,2496,2024-05-29,A,302
2512,2512,2024-04-23,A,152
2514,2514,2024-08-04,A,387
2515,2515,2024-09-08,A,393
2524,2524,2025-10-09,A,34
2526,2526,2025-09-18,A,247
2528,2528,2025-04-18,A,94
2532,2532,2025-11-29,A,89
2533,2533,2025-07-27,A,138
2539,2539,2025-04-22,A,108
2541,2541,2024-09-15,A,218
2542,2542,2023-11-21,A,50
2544,2544,2025-11-16,A,384
2547,2547,2023-09-17,A,10
2552,2552,2025-02-28,A,294
2554,2554,2023-11-16,A,92
2565,2565,2023-12-08,A,380
2568,2568,2023-11-21,A,187
2569,2569,2025-01-28,A,396
2572,2572,2024-12-07,A,114
2574,2574,2025-11-01,A,242
2577,2577,2023-12-01,A,92
2589,2589,2023-04-09,A,277
2595,2595,2025-07-18,A,86
2597,2597,2023-06-11,A,218
2598,2598,2024-08-14,A,116
2599,2599,2024-07-08,A,267
2601,2601,2023-12-30,A,11
2602,2602,2024-10-19,A,127
2603,2603,2024-01-29,A,61
2605,2605,2024-06-30,A,200
2606,2606,2025-10-24,A,230
2615,2615,2024-10-25,A,39
2616,2616,2025-05-17,A,91
2623,2623,2024-04-05,A,98
2628,2628,2026-03-05,A,8
2635,2635,2023-05-04,A,369
2637,2637,2025-05-27,A,95
2638,2638,2024-02-01,A,157
2644,2644,2023-09-13,A,79
2645,2645,2024-06-21,A,146
2650,2650,2025-05-24,A,282
2651,2651,2024-08-27,A,339
2652,2652,2023-08-23,A,147
2653,2653,2024-06-18,A,268
2656,2656,2023-11-23,A,62
2659,2659,2023-10-05,A,16
2661,2661,2023-05-14,A,374
2662,2662,2026-02-09,A,375
2670,2670,2024-12-20,A,248
2677,2677,2025-01-31,A,296
2678,2678,2025-10-28,A,101
2688,2688,2025-05-21,A,27
2689,2689,2023-08-25,A,349
2692,2692,2024-10-29,A,259
2698,2698,2024-07-31,A,329
2700,2700,2024-09-10,A,373
2701,2701,2024-03-28,A,380
2702,2702,2023-06-26,A,340
2703,2703,2025-09-19,A,94
2704,2704,2024-04-24,A,357
2705,2705,2024-02-05,A,379
2707,2707,2025-12-06,A,242
2711,2711,2025-11-06,A,276
2718,2718,2024-10-02,A,208
2719,2719,2023-08-22,A,377
2728,2728,2024-05-16,A,132
2733,2733,2023-09-10,A,309
2735,2735,2024-04-01,A,130
2737,2737,2023-02-11,A,349
2740,2740,2024-12-31,A,274
2741,2741,2024-03-08,A,60
2742,2742,2024-03-08,A,165
2744,2744,2024-04-12,A,288
2751,2751,2026-02-04,A,98
