node,type
VIC-53,victim
Bengaluru Urban PS-5,location
ACC-01522,suspect
VIC-54,victim
ACC-00495,suspect
VIC-55,victim
ACC-08977,suspect
VIC-56,victim
Hassan PS-2,location
ACC-01599,suspect
VIC-57,victim
Mandya PS-2,location
ACC-02444,suspect
VIC-58,victim
Dharwad PS-3,location
ACC-08362,suspect
VIC-59,victim
Kolar PS-1,location
ACC-06652,suspect
VIC-60,victim
Shivamogga PS-1,location
ACC-02224,suspect
VIC-61,victim
Bengaluru Urban PS-6,location
ACC-03878,suspect
VIC-62,victim
Shivamogga PS-5,location
ACC-01281,suspect
VIC-63,victim
Dakshina Kannada PS-2,location
ACC-04827,suspect
VIC-64,victim
Bagalkot PS-3,location
ACC-02077,suspect
VIC-65,victim
Udupi PS-3,location
ACC-04280,suspect
VIC-66,victim
Mandya PS-1,location
ACC-05653,suspect
VIC-67,victim
Raichur PS-1,location
ACC-07353,suspect
VIC-68,victim
Tumakuru PS-2,location
ACC-03193,suspect
VIC-69,victim
ACC-00388,suspect
VIC-70,victim
Chikkamagaluru PS-2,location
ACC-04528,suspect
VIC-71,victim
Kalaburagi PS-2,location
ACC-02923,suspect
VIC-72,victim
Tumakuru PS-6,location
ACC-06397,suspect
VIC-73,victim
ACC-08770,suspect
VIC-74,victim
Hassan PS-6,location
ACC-01749,suspect
VIC-75,victim
Mysuru PS-3,location
ACC-07361,suspect
VIC-76,victim
Bagalkot PS-5,location
ACC-00312,suspect
VIC-77,victim
Mandya PS-3,location
ACC-04082,suspect
VIC-78,victim
ACC-06801,suspect
VIC-79,victim
ACC-04648,suspect
VIC-80,victim
ACC-01442,suspect
VIC-81,victim
ACC-05700,suspect
VIC-82,victim
ACC-01712,suspect
VIC-83,victim
Shivamogga PS-3,location
ACC-06152,suspect
VIC-84,victim
ACC-01820,suspect
VIC-85,victim
ACC-07581,suspect
VIC-86,victim
Dakshina Kannada PS-3,location
ACC-07852,suspect
VIC-87,victim
Bagalkot PS-2,location
ACC-05198,suspect
VIC-88,victim
ACC-00022,suspect
VIC-89,victim
ACC-05963,suspect
VIC-90,victim
ACC-03693,suspect
VIC-91,victim
Belagavi PS-4,location
ACC-06031,suspect
VIC-92,victim
ACC-03346,suspect
VIC-93,victim
ACC-08513,suspect
VIC-94,victim
Udupi PS-6,location
ACC-04720,suspect
VIC-95,victim
Udupi PS-1,location
ACC-00568,suspect
VIC-96,victim
ACC-08948,suspect
VIC-97,victim
Bagalkot PS-1,location
ACC-01640,suspect
VIC-98,victim
ACC-08381,suspect
VIC-99,victim
ACC-04728,suspect
VIC-100,victim
ACC-04583,suspect
VIC-101,victim
ACC-04979,suspect
VIC-102,victim
ACC-01494,suspect
VIC-103,victim
Hassan PS-4,location
ACC-00866,suspect
VIC-104,victim
ACC-04932,suspect
VIC-105,victim
Belagavi PS-5,location
ACC-01867,suspect
VIC-106,victim
ACC-00471,suspect
VIC-107,victim
ACC-00981,suspect
VIC-108,victim
ACC-03277,suspect
VIC-109,victim
ACC-03138,suspect
VIC-110,victim
ACC-01848,suspect
VIC-111,victim
ACC-06672,suspect
VIC-112,victim
ACC-02248,suspect
VIC-113,victim
ACC-04472,suspect
VIC-114,victim
Belagavi PS-1,location
ACC-04840,suspect
VIC-115,victim
ACC-08887,suspect
VIC-116,victim
ACC-02203,suspect
VIC-117,victim
ACC-06408,suspect
VIC-118,victim
Bidar PS-6,location
ACC-01073,suspect
VIC-119,victim
Shivamogga PS-2,location
ACC-05282,suspect
VIC-120,victim
ACC-08779,suspect
VIC-121,victim
ACC-05690,suspect
VIC-122,victim
ACC-08457,suspect
VIC-123,victim
ACC-06721,suspect
VIC-124,victim
Bidar PS-1,location
ACC-05087,suspect
VIC-125,victim
ACC-00906,suspect
VIC-126,victim
ACC-01478,suspect
VIC-127,victim
Mandya PS-6,location
ACC-01850,suspect
VIC-128,victim
ACC-06302,suspect
VIC-129,victim
Mysuru PS-2,location
ACC-04489,suspect
VIC-130,victim
ACC-00448,suspect
VIC-131,victim
Chitradurga PS-1,location
ACC-02131,suspect
VIC-132,victim
ACC-03677,suspect
VIC-133,victim
ACC-05051,suspect
VIC-134,victim
ACC-04636,suspect
VIC-135,victim
ACC-00104,suspect
VIC-136,victim
ACC-05161,suspect
VIC-137,victim
Bagalkot PS-6,location
ACC-04266,suspect
VIC-138,victim
Chikkamagaluru PS-1,location
ACC-08049,suspect
VIC-139,victim
Chitradurga PS-3,location
ACC-08108,suspect
VIC-140,victim
Mysuru PS-4,location
ACC-00067,suspect
VIC-141,victim
ACC-01328,suspect
VIC-142,victim
ACC-06248,suspect
VIC-143,victim
Udupi PS-4,location
ACC-08042,suspect
VIC-144,victim
Udupi PS-2,location
ACC-06931,suspect
VIC-145,victim
ACC-01297,suspect
VIC-146,victim
ACC-06766,suspect
VIC-147,victim
ACC-07454,suspect
VIC-148,victim
ACC-06637,suspect
VIC-149,victim
ACC-02378,suspect
VIC-150,victim
ACC-03298,suspect
VIC-151,victim
ACC-00994,suspect
VIC-152,victim
ACC-07688,suspect
VIC-153,victim
Chikkamagaluru PS-4,location
ACC-01412,suspect
VIC-154,victim
ACC-02598,suspect
VIC-155,victim
ACC-08444,suspect
VIC-156,victim
ACC-04786,suspect
VIC-157,victim
ACC-02805,suspect
VIC-158,victim
ACC-07251,suspect
VIC-159,victim
Chikkamagaluru PS-3,location
ACC-06869,suspect
VIC-160,victim
ACC-06627,suspect
VIC-161,victim
ACC-08412,suspect
VIC-162,victim
ACC-08737,suspect
VIC-163,victim
ACC-02401,suspect
VIC-164,victim
ACC-08172,suspect
VIC-165,victim
ACC-06051,suspect
VIC-166,victim
Ballari PS-1,location
ACC-00458,suspect
VIC-167,victim
ACC-06181,suspect
VIC-168,victim
ACC-01450,suspect
VIC-169,victim
ACC-08713,suspect
VIC-170,victim
Ballari PS-2,location
ACC-04213,suspect
VIC-171,victim
Kolar PS-4,location
ACC-05154,suspect
VIC-172,victim
ACC-06676,suspect
VIC-173,victim
ACC-02332,suspect
VIC-174,victim
ACC-06228,suspect
VIC-175,victim
ACC-03454,suspect
VIC-176,victim
Belagavi PS-2,location
ACC-05234,suspect
VIC-177,victim
ACC-05783,suspect
VIC-178,victim
ACC-03623,suspect
VIC-179,victim
ACC-06364,suspect
VIC-180,victim
ACC-05292,suspect
VIC-181,victim
ACC-01340,suspect
VIC-182,victim
Kolar PS-5,location
ACC-00393,suspect
VIC-183,victim
ACC-07314,suspect
VIC-184,victim
VIC-185,victim
ACC-05377,suspect
VIC-186,victim
ACC-00722,suspect
VIC-187,victim
ACC-00894,suspect
VIC-188,victim
ACC-02658,suspect
VIC-189,victim
ACC-06158,suspect
VIC-190,victim
Shivamogga PS-6,location
ACC-05816,suspect
VIC-191,victim
VIC-192,victim
ACC-01071,suspect
VIC-193,victim
ACC-04819,suspect
VIC-194,victim
ACC-08342,suspect
VIC-195,victim
ACC-03840,suspect
VIC-196,victim
ACC-05511,suspect
VIC-197,victim
ACC-03731,suspect
VIC-198,victim
ACC-06022,suspect
VIC-199,victim
ACC-07559,suspect
VIC-200,victim
Ballari PS-5,location
ACC-06867,suspect
VIC-201,victim
ACC-03345,suspect
VIC-202,victim
Davanagere PS-3,location
ACC-06322,suspect
VIC-203,victim
ACC-03382,suspect
VIC-204,victim
ACC-08043,suspect
VIC-205,victim
ACC-01565,suspect
VIC-206,victim
ACC-05341,suspect
VIC-207,victim
VIC-208,victim
Ballari PS-6,location
ACC-06403,suspect
VIC-209,victim
ACC-01684,suspect
VIC-210,victim
ACC-03148,suspect
VIC-211,victim
ACC-06472,suspect
VIC-212,victim
Davanagere PS-2,location
ACC-06045,suspect
VIC-213,victim
ACC-05209,suspect
VIC-214,victim
ACC-03990,suspect
VIC-215,victim
Koppal PS-1,location
ACC-06797,suspect
VIC-216,victim
ACC-00099,suspect
VIC-217,victim
ACC-03236,suspect
VIC-218,victim
ACC-07101,suspect
VIC-219,victim
Bidar PS-3,location
ACC-02838,suspect
VIC-220,victim
ACC-00636,suspect
VIC-221,victim
ACC-00565,suspect
VIC-222,victim
ACC-01316,suspect
VIC-223,victim
ACC-04407,suspect
VIC-224,victim
Dakshina Kannada PS-6,location
ACC-02981,suspect
VIC-225,victim
ACC-05605,suspect
VIC-226,victim
Kalaburagi PS-4,location
ACC-05521,suspect
VIC-227,victim
ACC-02275,suspect
VIC-228,victim
ACC-03826,suspect
VIC-229,victim
ACC-01226,suspect
VIC-230,victim
ACC-05349,suspect
VIC-231,victim
ACC-01059,suspect
VIC-232,victim
ACC-02087,suspect
VIC-233,victim
ACC-02280,suspect
VIC-234,victim
Dakshina Kannada PS-5,location
ACC-05060,suspect
VIC-235,victim
Dharwad PS-4,location
ACC-00861,suspect
VIC-236,victim
Dharwad PS-1,location
ACC-06407,suspect
VIC-237,victim
ACC-07904,suspect
VIC-238,victim
ACC-00859,suspect
VIC-239,victim
ACC-06150,suspect
VIC-240,victim
ACC-01549,suspect
VIC-241,victim
ACC-08788,suspect
VIC-242,victim
ACC-02831,suspect
VIC-243,victim
ACC-07289,suspect
VIC-244,victim
Mysuru PS-5,location
ACC-03539,suspect
VIC-245,victim
ACC-01350,suspect
VIC-246,victim
ACC-01551,suspect
VIC-247,victim
ACC-05022,suspect
VIC-248,victim
ACC-06597,suspect
VIC-249,victim
Raichur PS-5,location
ACC-05799,suspect
VIC-250,victim
ACC-02705,suspect
VIC-251,victim
ACC-08754,suspect
VIC-252,victim
ACC-02793,suspect
VIC-253,victim
ACC-04994,suspect
VIC-254,victim
ACC-00753,suspect
VIC-255,victim
ACC-03678,suspect
VIC-256,victim
ACC-02626,suspect
VIC-257,victim
ACC-01767,suspect
VIC-258,victim
ACC-04059,suspect
VIC-259,victim
ACC-02436,suspect
VIC-260,victim
ACC-06980,suspect
VIC-261,victim
ACC-04590,suspect
VIC-262,victim
ACC-05920,suspect
VIC-263,victim
ACC-07408,suspect
VIC-264,victim
ACC-01923,suspect
VIC-265,victim
ACC-01228,suspect
VIC-266,victim
ACC-08602,suspect
VIC-267,victim
ACC-00844,suspect
VIC-268,victim
ACC-00938,suspect
VIC-269,victim
ACC-03341,suspect
VIC-270,victim
Koppal PS-5,location
ACC-02955,suspect
VIC-271,victim
ACC-02249,suspect
VIC-272,victim
ACC-01742,suspect
VIC-273,victim
ACC-02016,suspect
VIC-274,victim
ACC-01841,suspect
VIC-275,victim
ACC-02971,suspect
VIC-276,victim
VIC-277,victim
ACC-06782,suspect
VIC-278,victim
Raichur PS-4,location
ACC-03593,suspect
VIC-279,victim
ACC-03679,suspect
VIC-280,victim
ACC-06806,suspect
VIC-281,victim
ACC-02554,suspect
VIC-282,victim
Davanagere PS-5,location
ACC-01506,suspect
VIC-283,victim
ACC-02700,suspect
VIC-284,victim
ACC-00530,suspect
VIC-285,victim
ACC-02122,suspect
VIC-286,victim
ACC-03794,suspect
VIC-287,victim
Dharwad PS-2,location
VIC-288,victim
ACC-07753,suspect
VIC-289,victim
ACC-06769,suspect
VIC-290,victim
ACC-07573,suspect
VIC-291,victim
ACC-01415,suspect
VIC-292,victim
ACC-02885,suspect
VIC-293,victim
ACC-08773,suspect
VIC-294,victim
ACC-01861,suspect
VIC-295,victim
ACC-03541,suspect
VIC-296,victim
VIC-297,victim
ACC-01625,suspect
VIC-298,victim
VIC-299,victim
ACC-06794,suspect
VIC-300,victim
ACC-06444,suspect
VIC-301,victim
ACC-02605,suspect
VIC-302,victim
ACC-03633,suspect
VIC-303,victim
ACC-00319,suspect
VIC-304,victim
ACC-01250,suspect
VIC-305,victim
ACC-08953,suspect
VIC-306,victim
ACC-02073,suspect
VIC-307,victim
Belagavi PS-3,location
ACC-01685,suspect
VIC-308,victim
ACC-05782,suspect
VIC-309,victim
Davanagere PS-1,location
ACC-03046,suspect
VIC-310,victim
ACC-06317,suspect
VIC-311,victim
Ballari PS-4,location
ACC-03836,suspect
VIC-312,victim
ACC-03522,suspect
VIC-313,victim
ACC-01989,suspect
VIC-314,victim
ACC-08807,suspect
VIC-315,victim
ACC-07548,suspect
VIC-316,victim
ACC-04322,suspect
VIC-317,victim
ACC-05134,suspect
VIC-318,victim
ACC-05032,suspect
VIC-319,victim
ACC-01377,suspect
VIC-320,victim
ACC-08676,suspect
VIC-321,victim
Kolar PS-6,location
ACC-06628,suspect
VIC-322,victim
ACC-07811,suspect
VIC-323,victim
ACC-02797,suspect
VIC-324,victim
ACC-01538,suspect
VIC-325,victim
ACC-07935,suspect
VIC-326,victim
ACC-04487,suspect
VIC-327,victim
ACC-02014,suspect
VIC-328,victim
ACC-02664,suspect
VIC-329,victim
ACC-08224,suspect
VIC-330,victim
ACC-06328,suspect
VIC-331,victim
ACC-01402,suspect
VIC-332,victim
VIC-333,victim
ACC-07582,suspect
VIC-334,victim
ACC-08369,suspect
VIC-335,victim
Bagalkot PS-4,location
ACC-02947,suspect
VIC-336,victim
ACC-08957,suspect
VIC-337,victim
ACC-04751,suspect
VIC-338,victim
ACC-07282,suspect
VIC-339,victim
ACC-02320,suspect
VIC-340,victim
ACC-05309,suspect
VIC-341,victim
ACC-00681,suspect
VIC-342,victim
ACC-07364,suspect
VIC-343,victim
ACC-01576,suspect
VIC-344,victim
ACC-02258,suspect
VIC-345,victim
Mandya PS-5,location
ACC-01354,suspect
VIC-346,victim
ACC-00973,suspect
VIC-347,victim
ACC-07844,suspect
VIC-348,victim
ACC-06215,suspect
VIC-349,victim
ACC-00949,suspect
VIC-350,victim
ACC-04001,suspect
VIC-351,victim
ACC-04795,suspect
VIC-352,victim
ACC-03453,suspect
VIC-353,victim
ACC-03588,suspect
VIC-354,victim
VIC-355,victim
ACC-08501,suspect
VIC-356,victim
ACC-05259,suspect
VIC-357,victim
ACC-04524,suspect
VIC-358,victim
ACC-00011,suspect
VIC-359,victim
ACC-06815,suspect
VIC-360,victim
ACC-00418,suspect
VIC-361,victim
VIC-362,victim
ACC-05157,suspect
VIC-363,victim
ACC-02052,suspect
VIC-364,victim
ACC-03245,suspect
VIC-365,victim
ACC-08672,suspect
VIC-366,victim
ACC-07368,suspect
VIC-367,victim
ACC-01587,suspect
VIC-368,victim
ACC-04558,suspect
VIC-369,victim
ACC-04565,suspect
VIC-370,victim
ACC-08534,suspect
VIC-371,victim
ACC-03644,suspect
VIC-372,victim
Tumakuru PS-5,location
ACC-00130,suspect
VIC-373,victim
ACC-03509,suspect
VIC-374,victim
VIC-375,victim
ACC-05694,suspect
VIC-376,victim
ACC-07240,suspect
VIC-377,victim
ACC-01807,suspect
VIC-378,victim
ACC-05932,suspect
VIC-379,victim
ACC-08133,suspect
VIC-380,victim
VIC-381,victim
ACC-04329,suspect
VIC-382,victim
ACC-00407,suspect
VIC-383,victim
Bidar PS-5,location
ACC-03808,suspect
VIC-384,victim
ACC-08428,suspect
VIC-385,victim
ACC-08594,suspect
VIC-386,victim
ACC-06082,suspect
VIC-387,victim
ACC-05423,suspect
VIC-388,victim
ACC-08864,suspect
VIC-389,victim
ACC-00043,suspect
VIC-390,victim
ACC-05359,suspect
VIC-391,victim
ACC-04550,suspect
VIC-392,victim
ACC-02932,suspect
VIC-393,victim
VIC-394,victim
ACC-08938,suspect
VIC-395,victim
ACC-04546,suspect
VIC-396,victim
ACC-08216,suspect
VIC-397,victim
Kolar PS-2,location
VIC-398,victim
ACC-03130,suspect
VIC-399,victim
ACC-07202,suspect
VIC-400,victim
ACC-08253,suspect
VIC-401,victim
ACC-05291,suspect
VIC-402,victim
ACC-03050,suspect
VIC-403,victim
ACC-08306,suspect
VIC-404,victim
ACC-00881,suspect
VIC-405,victim
ACC-04009,suspect
VIC-406,victim
ACC-05215,suspect
VIC-407,victim
ACC-06523,suspect
VIC-408,victim
ACC-07875,suspect
VIC-409,victim
ACC-07449,suspect
VIC-410,victim
ACC-06947,suspect
VIC-411,victim
ACC-07859,suspect
VIC-412,victim
ACC-00599,suspect
VIC-413,victim
ACC-08577,suspect
VIC-414,victim
ACC-01298,suspect
VIC-415,victim
ACC-00749,suspect
VIC-416,victim
ACC-04715,suspect
VIC-417,victim
ACC-02785,suspect
VIC-418,victim
ACC-05813,suspect
VIC-419,victim
ACC-02606,suspect
VIC-420,victim
ACC-08724,suspect
VIC-421,victim
ACC-06722,suspect
VIC-422,victim
ACC-03162,suspect
VIC-423,victim
ACC-02897,suspect
VIC-424,victim
ACC-05900,suspect
VIC-425,victim
ACC-06004,suspect
VIC-426,victim
ACC-05610,suspect
VIC-427,victim
ACC-04992,suspect
VIC-428,victim
ACC-04250,suspect
VIC-429,victim
ACC-07950,suspect
VIC-430,victim
ACC-00199,suspect
VIC-431,victim
ACC-08810,suspect
VIC-432,victim
ACC-04354,suspect
VIC-433,victim
ACC-01196,suspect
VIC-434,victim
ACC-03191,suspect
VIC-435,victim
ACC-04510,suspect
VIC-436,victim
ACC-01781,suspect
VIC-437,victim
ACC-08461,suspect
VIC-438,victim
ACC-00092,suspect
VIC-439,victim
ACC-00042,suspect
VIC-440,victim
Bidar PS-4,location
ACC-06390,suspect
VIC-441,victim
ACC-06779,suspect
VIC-442,victim
ACC-05918,suspect
VIC-443,victim
ACC-06730,suspect
VIC-444,victim
Tumakuru PS-3,location
ACC-01509,suspect
VIC-445,victim
VIC-446,victim
ACC-03282,suspect
VIC-447,victim
ACC-03421,suspect
VIC-448,victim
ACC-07320,suspect
VIC-449,victim
ACC-01487,suspect
VIC-450,victim
ACC-04926,suspect
VIC-451,victim
ACC-07697,suspect
VIC-452,victim
ACC-04794,suspect
VIC-453,victim
ACC-08604,suspect
VIC-454,victim
ACC-07692,suspect
VIC-455,victim
ACC-01553,suspect
VIC-456,victim
ACC-00560,suspect
VIC-457,victim
ACC-03519,suspect
VIC-458,victim
ACC-05987,suspect
VIC-459,victim
ACC-08370,suspect
VIC-460,victim
ACC-02600,suspect
VIC-461,victim
ACC-07667,suspect
VIC-462,victim
Raichur PS-2,location
ACC-02612,suspect
VIC-463,victim
ACC-01388,suspect
VIC-464,victim
ACC-08954,suspect
VIC-465,victim
ACC-04519,suspect
VIC-466,victim
ACC-01703,suspect
VIC-467,victim
ACC-00653,suspect
VIC-468,victim
ACC-00464,suspect
VIC-469,victim
ACC-08966,suspect
VIC-470,victim
ACC-06270,suspect
VIC-471,victim
ACC-01244,suspect
VIC-472,victim
ACC-07250,suspect
VIC-473,victim
ACC-07917,suspect
VIC-474,victim
ACC-05850,suspect
VIC-475,victim
ACC-00871,suspect
VIC-476,victim
ACC-00451,suspect
VIC-477,victim
ACC-00867,suspect
VIC-478,victim
ACC-01542,suspect
VIC-479,victim
ACC-08186,suspect
VIC-480,victim
ACC-01964,suspect
VIC-481,victim
ACC-02898,suspect
VIC-482,victim
VIC-483,victim
ACC-08680,suspect
VIC-484,victim
ACC-01349,suspect
VIC-485,victim
ACC-00785,suspect
VIC-486,victim
ACC-05247,suspect
VIC-487,victim
ACC-06388,suspect
VIC-488,victim
ACC-03104,suspect
VIC-489,victim
ACC-04202,suspect
VIC-490,victim
ACC-08490,suspect
VIC-491,victim
ACC-00672,suspect
VIC-492,victim
ACC-02508,suspect
VIC-493,victim
ACC-05202,suspect
VIC-494,victim
ACC-01960,suspect
VIC-495,victim
ACC-05654,suspect
VIC-496,victim
ACC-04912,suspect
VIC-497,victim
Tumakuru PS-4,location
ACC-05534,suspect
VIC-498,victim
ACC-03498,suspect
VIC-499,victim
ACC-02553,suspect
VIC-500,victim
ACC-00864,suspect
VIC-501,victim
ACC-04747,suspect
VIC-502,victim
ACC-02402,suspect
VIC-503,victim
ACC-05633,suspect
VIC-504,victim
ACC-08105,suspect
VIC-505,victim
ACC-04470,suspect
VIC-506,victim
ACC-08398,suspect
VIC-507,victim
ACC-00376,suspect
VIC-508,victim
ACC-01153,suspect
VIC-509,victim
ACC-07365,suspect
VIC-510,victim
ACC-08316,suspect
VIC-511,victim
ACC-08301,suspect
VIC-512,victim
ACC-07046,suspect
VIC-513,victim
ACC-04919,suspect
VIC-514,victim
ACC-07608,suspect
VIC-515,victim
ACC-02455,suspect
VIC-516,victim
ACC-04740,suspect
VIC-517,victim
ACC-02099,suspect
VIC-518,victim
ACC-05582,suspect
VIC-519,victim
ACC-05269,suspect
VIC-520,victim
ACC-04468,suspect
VIC-521,victim
ACC-06930,suspect
VIC-522,victim
ACC-02571,suspect
VIC-523,victim
ACC-06042,suspect
VIC-524,victim
ACC-01112,suspect
VIC-525,victim
ACC-06487,suspect
VIC-526,victim
ACC-00691,suspect
VIC-527,victim
ACC-00657,suspect
VIC-528,victim
ACC-06132,suspect
VIC-529,victim
ACC-03352,suspect
VIC-530,victim
ACC-00390,suspect
VIC-531,victim
ACC-04675,suspect
VIC-532,victim
ACC-06590,suspect
VIC-533,victim
ACC-07807,suspect
VIC-534,victim
ACC-00217,suspect
VIC-535,victim
VIC-536,victim
ACC-08859,suspect
VIC-537,victim
ACC-02255,suspect
VIC-538,victim
ACC-06493,suspect
VIC-539,victim
ACC-01294,suspect
VIC-540,victim
ACC-01183,suspect
VIC-541,victim
ACC-05857,suspect
VIC-542,victim
ACC-06287,suspect
VIC-543,victim
ACC-01540,suspect
VIC-544,victim
ACC-07281,suspect
VIC-545,victim
ACC-02536,suspect
VIC-546,victim
ACC-01902,suspect
VIC-547,victim
ACC-07080,suspect
VIC-548,victim
ACC-01898,suspect
VIC-549,victim
ACC-02733,suspect
VIC-550,victim
ACC-01189,suspect
VIC-551,victim
ACC-03681,suspect
VIC-552,victim
ACC-00654,suspect
VIC-553,victim
ACC-01031,suspect
VIC-554,victim
ACC-06944,suspect
VIC-555,victim
ACC-08142,suspect
VIC-556,victim
ACC-04174,suspect
VIC-557,victim
ACC-04877,suspect
VIC-558,victim
VIC-559,victim
ACC-06279,suspect
VIC-560,victim
ACC-04578,suspect
VIC-561,victim
VIC-562,victim
ACC-01267,suspect
VIC-563,victim
ACC-03998,suspect
VIC-564,victim
ACC-04257,suspect
VIC-565,victim
ACC-08605,suspect
VIC-566,victim
ACC-07704,suspect
VIC-567,victim
ACC-03060,suspect
VIC-568,victim
ACC-06016,suspect
VIC-569,victim
ACC-08027,suspect
VIC-570,victim
ACC-01892,suspect
VIC-571,victim
ACC-04947,suspect
VIC-572,victim
ACC-01659,suspect
VIC-573,victim
ACC-05993,suspect
VIC-574,victim
ACC-02020,suspect
VIC-575,victim
ACC-00948,suspect
VIC-576,victim
ACC-07801,suspect
VIC-577,victim
VIC-578,victim
ACC-06630,suspect
VIC-579,victim
VIC-580,victim
ACC-01937,suspect
VIC-581,victim
ACC-01357,suspect
VIC-582,victim
ACC-01433,suspect
VIC-583,victim
ACC-07728,suspect
VIC-584,victim
ACC-05020,suspect
VIC-585,victim
ACC-02066,suspect
VIC-586,victim
ACC-00554,suspect
VIC-587,victim
ACC-03014,suspect
VIC-588,victim
ACC-06846,suspect
VIC-589,victim
ACC-03222,suspect
VIC-590,victim
ACC-03651,suspect
VIC-591,victim
ACC-04483,suspect
VIC-592,victim
ACC-06373,suspect
VIC-593,victim
ACC-02685,suspect
VIC-594,victim
ACC-08199,suspect
VIC-595,victim
VIC-596,victim
ACC-03115,suspect
VIC-597,victim
ACC-05285,suspect
VIC-598,victim
ACC-05194,suspect
VIC-599,victim
ACC-00428,suspect
VIC-600,victim
ACC-03490,suspect
VIC-601,victim
ACC-05038,suspect
VIC-602,victim
ACC-08350,suspect
VIC-603,victim
ACC-04713,suspect
VIC-604,victim
ACC-01965,suspect
VIC-605,victim
ACC-05592,suspect
VIC-606,victim
VIC-607,victim
VIC-608,victim
ACC-05869,suspect
VIC-609,victim
Mysuru PS-6,location
ACC-00332,suspect
VIC-610,victim
ACC-00023,suspect
VIC-611,victim
ACC-05507,suspect
VIC-612,victim
ACC-08987,suspect
VIC-613,victim
VIC-614,victim
ACC-01639,suspect
VIC-615,victim
VIC-616,victim
ACC-04908,suspect
VIC-617,victim
ACC-07120,suspect
VIC-618,victim
ACC-03508,suspect
VIC-619,victim
ACC-01854,suspect
VIC-620,victim
VIC-621,victim
ACC-04527,suspect
VIC-622,victim
ACC-01609,suspect
VIC-623,victim
ACC-08847,suspect
VIC-624,victim
ACC-00045,suspect
VIC-625,victim
ACC-05999,suspect
VIC-626,victim
ACC-01057,suspect
VIC-627,victim
ACC-06194,suspect
VIC-628,victim
VIC-629,victim
ACC-06122,suspect
VIC-630,victim
ACC-08404,suspect
VIC-631,victim
ACC-02304,suspect
VIC-632,victim
ACC-01475,suspect
VIC-633,victim
ACC-00480,suspect
VIC-634,victim
ACC-05711,suspect
VIC-635,victim
ACC-01961,suspect
VIC-636,victim
ACC-04699,suspect
VIC-637,victim
ACC-03934,suspect
VIC-638,victim
ACC-06479,suspect
VIC-639,victim
ACC-01448,suspect
VIC-640,victim
