incident_id,date,hour,district,police_station,crime_type,mo,latitude,longitude,suspect_id,victim_id,victim_age,victim_gender,weapon_used,severity_score,resolved,urbanization,pop_density,literacy_rate,unemployment_rate,month,day_of_week,is_weekend,is_repeat_offender,CrimeNo,CaseStatusName,anomaly_score,is_anomaly,hotspot_cluster
INC-000041,2024-03-01,16,Shivamogga,Shivamogga PS-4,Cyber Fraud,SIM swap,13.92302,75.5984,ACC-02236,41,17,F,False,1.2,0,29,254,81.3,4.5,3,4,False,True,144080046202400001,Under Investigation,1,False,15
INC-000042,2023-12-30,17,Kalaburagi,Kalaburagi PS-1,Cyber Fraud,OTP scam,17.2905,76.94023,ACC-05901,42,16,F,False,3.8,0,32,316,64.8,6.9,12,5,True,False,144060031202300001,Under Investigation,1,False,3
INC-000043,2025-12-15,23,Belagavi,Belagavi PS-6,Cyber Fraud,UPI phishing,15.91165,74.40654,ACC-03438,43,51,T,False,3.1,0,24,316,73.9,5.2,12,0,False,True,144040024202500001,Under Investigation,1,False,16
INC-000044,2024-12-25,22,Tumakuru,Tumakuru PS-1,Robbery,ATM area targeting,13.38438,77.06168,ACC-08132,44,6,M,False,4.6,1,22,276,75.1,5.0,12,2,False,False,844090049202400001,Charge Sheeted,1,False,17
INC-000045,2025-04-27,18,Chitradurga,Chitradurga PS-4,Cyber Fraud,SIM swap,14.15023,76.49594,ACC-06337,45,27,T,False,2.7,0,21,197,73.6,5.4,4,6,True,True,844170100202500001,Under Investigation,1,False,5
INC-000046,2025-03-22,23,Bengaluru Urban,Bengaluru Urban PS-4,Assault,group assault,12.88545,77.66439,ACC-00477,46,20,M,True,4.5,1,91,4381,87.7,6.1,3,5,True,False,144010004202500001,Closed,1,False,8
INC-000047,2025-04-27,20,Hassan,Hassan PS-3,Domestic Violence,repeat household dispute,12.97119,76.10059,ACC-00917,47,35,M,False,4.5,1,18,320,78.3,4.6,4,6,True,False,144180105202500001,Closed,1,False,10
INC-000048,2025-03-08,23,Raichur,Raichur PS-3,Vehicle Theft,parking-lot theft,16.13333,77.47428,ACC-01914,48,31,M,False,2.7,1,24,335,60.5,7.2,3,5,True,False,144130075202500003,Closed,1,False,-1
INC-000049,2023-03-18,21,Chitradurga,Chitradurga PS-4,Theft,opportunistic pickpocketing,14.18774,76.38551,ACC-01517,49,25,F,True,1.9,1,21,197,73.6,5.4,3,5,True,False,144170100202300001,Charge Sheeted,1,False,5
INC-000050,2023-03-16,21,Chitradurga,Chitradurga PS-5,Cyber Fraud,UPI phishing,14.18353,76.45198,ACC-08558,50,45,T,False,1.3,0,21,197,73.6,5.4,3,3,False,False,144170101202300001,Under Investigation,1,False,5
INC-000051,2024-03-05,15,Bengaluru Urban,Bengaluru Urban PS-3,Robbery,armed - two person,12.93799,77.63944,ACC-03154,51,33,M,False,3.9,1,91,4381,87.7,6.1,3,1,False,False,144010003202400001,Closed,1,False,8
INC-000052,2024-12-18,23,Hassan,Hassan PS-1,Burglary,forced entry - night,12.97171,76.12923,ACC-04440,52,30,M,False,2.3,0,18,320,78.3,4.6,12,2,False,False,144180103202400001,Under Investigation,1,False,10
INC-000053,2023-08-05,23,Bengaluru Urban,Bengaluru Urban PS-5,Burglary,impersonation - utility worker,13.02041,77.67293,ACC-01410,53,43,F,False,2.9,1,91,4381,87.7,6.1,8,5,True,False,144010005202300001,Charge Sheeted,1,False,8
INC-000054,2025-08-11,21,Hassan,Hassan PS-5,Assault,group assault,12.99939,76.10222,ACC-01522,54,22,M,False,4.4,1,18,320,78.3,4.6,8,0,False,False,844180107202500001,Charge Sheeted,1,False,10
INC-000055,2024-10-27,14,Kalaburagi,Kalaburagi PS-5,Cyber Fraud,SIM swap,17.25685,76.90379,ACC-00495,55,42,F,False,1.2,1,32,316,64.8,6.9,10,6,True,False,144060035202400001,Charge Sheeted,1,False,3
INC-000056,2024-05-03,19,Hassan,Hassan PS-2,Burglary,impersonation - utility worker,12.95336,76.10095,ACC-08977,56,47,M,False,2.3,0,18,320,78.3,4.6,5,4,False,False,144180104202400001,Under Investigation,1,False,10
INC-000057,2025-08-06,15,Mandya,Mandya PS-2,Domestic Violence,repeat household dispute,12.50492,76.92058,ACC-01599,57,22,M,False,4.5,0,17,460,71.9,5.1,8,2,False,True,144190110202500001,Undetected,1,False,18
INC-000058,2023-01-01,21,Dharwad,Dharwad PS-3,Domestic Violence,repeat household dispute,15.42848,74.97954,ACC-02444,58,13,T,False,3.4,1,56,439,80.5,5.7,1,6,True,False,844050027202300001,Charge Sheeted,1,False,2
INC-000059,2023-07-02,16,Kolar,Kolar PS-1,Cyber Fraud,UPI phishing,13.12389,78.14845,ACC-08362,59,46,F,False,2.2,0,20,396,73.8,5.6,7,6,True,False,844140079202300001,Under Investigation,1,False,7
INC-000060,2024-10-13,19,Shivamogga,Shivamogga PS-1,Burglary,forced entry - night,13.86975,75.56699,ACC-06652,60,38,F,False,2.8,1,29,254,81.3,4.5,10,6,True,False,144080043202400001,Closed,1,False,15
INC-000061,2025-09-23,22,Bengaluru Urban,Bengaluru Urban PS-6,Assault,workplace dispute,13.06356,77.58807,ACC-02224,61,43,T,False,2.3,1,91,4381,87.7,6.1,9,1,False,False,144010006202500001,Charge Sheeted,1,False,8
INC-000062,2025-10-17,21,Shivamogga,Shivamogga PS-5,Theft,shop-lifting,13.93066,75.57396,ACC-03878,62,34,M,False,2.4,0,29,254,81.3,4.5,10,4,False,False,144080047202500001,Undetected,1,False,15
INC-000063,2024-07-26,23,Dakshina Kannada,Dakshina Kannada PS-2,Assault,workplace dispute,12.97166,74.98519,ACC-01281,63,46,F,False,3.6,0,45,619,88.6,3.9,7,4,False,False,144030014202400001,Under Investigation,1,False,4
INC-000064,2024-11-09,23,Bagalkot,Bagalkot PS-3,Burglary,window forced entry,16.1206,75.61632,ACC-04827,64,6,T,True,2.6,0,22,316,68.8,6.0,11,5,True,False,844160093202400001,Undetected,1,False,19
INC-000065,2024-08-10,16,Udupi,Udupi PS-3,Domestic Violence,dowry-related,13.34992,74.76261,ACC-02077,65,47,T,False,3.5,0,27,407,86.2,3.4,8,5,True,False,144100057202400001,Under Investigation,1,False,1
INC-000066,2025-01-27,15,Mandya,Mandya PS-1,Cyber Fraud,UPI phishing,12.55372,76.81659,ACC-04280,66,50,F,False,3.3,0,17,460,71.9,5.1,1,0,False,False,144190109202500001,Under Investigation,1,False,18
INC-000067,2023-12-09,11,Raichur,Raichur PS-1,Theft,opportunistic pickpocketing,16.28883,77.33943,ACC-05653,67,11,F,False,1.1,1,24,335,60.5,7.2,12,5,True,False,144130073202300001,Closed,1,False,0
INC-000068,2023-01-25,20,Tumakuru,Tumakuru PS-2,Assault,altercation escalation,13.34072,77.0903,ACC-07353,68,19,F,False,3.1,1,22,276,75.1,5.0,1,2,False,False,344090050202300001,Charge Sheeted,1,False,17
INC-000069,2024-05-10,20,Mandya,Mandya PS-1,Theft,snatch-and-run,12.55507,76.9385,ACC-03193,69,12,M,False,2.0,0,17,460,71.9,5.1,5,4,False,False,144190109202400001,Undetected,1,False,18
INC-000070,2024-05-30,21,Chikkamagaluru,Chikkamagaluru PS-2,Theft,snatch-and-run,13.27119,75.86507,ACC-00388,70,50,T,False,2.2,1,19,191,81.9,4.1,5,3,False,False,144150086202400001,Charge Sheeted,1,False,13
INC-000071,2023-06-05,23,Kalaburagi,Kalaburagi PS-2,Theft,shop-lifting,17.43502,76.81936,ACC-04528,71,43,M,False,2.5,1,32,316,64.8,6.9,6,0,False,False,144060032202300001,Closed,1,False,3
INC-000072,2024-02-15,15,Tumakuru,Tumakuru PS-6,Kidnapping,ransom motive,13.37906,77.18081,ACC-02923,72,17,M,True,6.9,1,22,276,75.1,5.0,2,3,False,False,144090054202400001,Charge Sheeted,1,False,17
INC-000073,2023-01-02,18,Bengaluru Urban,Bengaluru Urban PS-5,Domestic Violence,repeat household dispute,13.01465,77.68474,ACC-06397,73,56,T,False,2.8,0,91,4381,87.7,6.1,1,0,False,False,144010005202300002,Undetected,1,False,8
INC-000074,2025-09-14,11,Hassan,Hassan PS-6,Theft,snatch-and-run,13.00387,76.11944,ACC-08770,74,6,F,False,2.9,1,18,320,78.3,4.6,9,6,True,False,144180108202500001,Closed,1,False,10
INC-000075,2024-09-04,13,Mysuru,Mysuru PS-3,Drug Offense,courier network,12.33598,76.6614,ACC-01749,75,26,M,False,3.9,0,51,493,72.6,4.8,9,2,False,False,144020009202400001,Under Investigation,1,False,9
INC-000076,2024-09-22,19,Bagalkot,Bagalkot PS-5,Theft,snatch-and-run,16.22641,75.60756,ACC-07361,76,26,T,True,2.9,0,22,316,68.8,6.0,9,6,True,False,144160095202400001,Under Investigation,1,False,19
INC-000077,2023-10-17,19,Mandya,Mandya PS-3,Theft,opportunistic pickpocketing,12.46209,76.86258,ACC-00312,77,61,M,False,1.9,0,17,460,71.9,5.1,10,1,False,False,144190111202300001,Under Investigation,1,False,18
INC-000078,2023-08-06,16,Raichur,Raichur PS-6,Theft,shop-lifting,16.22044,77.33956,ACC-04082,78,42,F,False,2.6,1,24,335,60.5,7.2,8,6,True,True,144130078202300001,Closed,1,False,0
INC-000079,2024-07-14,17,Mandya,Mandya PS-2,Kidnapping,ransom motive,12.48965,76.8793,ACC-06801,79,12,M,False,5.5,0,17,460,71.9,5.1,7,6,True,False,144190110202400001,Under Investigation,1,False,18
INC-000080,2023-07-02,23,Dakshina Kannada,Dakshina Kannada PS-1,Murder,personal enmity,12.89916,74.89059,ACC-04648,80,77,F,False,8.2,1,45,619,88.6,3.9,7,6,True,False,144030013202300001,Closed,-1,True,4
INC-000081,2025-10-20,19,Koppal,Koppal PS-6,Cyber Fraud,fake investment call,15.29737,76.05841,ACC-01442,81,23,T,False,2.9,0,20,261,65.5,6.6,10,0,False,False,144200120202500001,Under Investigation,1,False,12
INC-000082,2024-07-20,16,Dakshina Kannada,Dakshina Kannada PS-4,Theft,distraction technique,12.84921,74.95723,ACC-05700,82,33,T,False,2.6,0,45,619,88.6,3.9,7,5,True,True,144030016202400001,Undetected,1,False,4
INC-000083,2025-07-17,20,Shivamogga,Shivamogga PS-3,Burglary,impersonation - utility worker,13.87822,75.65949,ACC-01712,83,19,T,False,3.8,1,29,254,81.3,4.5,7,3,False,True,144080045202500001,Closed,1,False,15
INC-000084,2025-04-24,15,Belagavi,Belagavi PS-6,Theft,distraction technique,15.76673,74.55327,ACC-06152,84,14,F,False,2.8,1,24,316,73.9,5.2,4,3,False,False,144040024202500002,Charge Sheeted,1,False,16
INC-000085,2023-05-03,16,Tumakuru,Tumakuru PS-6,Theft,opportunistic pickpocketing,13.30867,77.08176,ACC-01820,85,34,T,False,2.7,0,22,276,75.1,5.0,5,2,False,False,144090054202300001,Under Investigation,1,False,17
INC-000086,2024-03-19,21,Dakshina Kannada,Dakshina Kannada PS-3,Burglary,forced entry - night,12.91109,74.84166,ACC-07581,86,25,T,False,2.6,1,45,619,88.6,3.9,3,1,False,False,144030015202400001,Closed,1,False,4
INC-000087,2025-05-21,22,Bagalkot,Bagalkot PS-2,Cyber Fraud,fake investment call,16.11045,75.67266,ACC-07852,87,10,M,False,3.4,0,22,316,68.8,6.0,5,2,False,False,144160092202500001,Under Investigation,1,False,19
INC-000088,2023-07-05,16,Chitradurga,Chitradurga PS-5,Robbery,ATM area targeting,14.25934,76.3522,ACC-05198,88,11,T,False,3.9,0,21,197,73.6,5.4,7,2,False,True,144170101202300002,Undetected,1,False,5
INC-000089,2025-08-08,21,Kalaburagi,Kalaburagi PS-1,Cyber Fraud,UPI phishing,17.27544,76.87262,ACC-00022,89,33,T,False,3.6,0,32,316,64.8,6.9,8,4,False,False,144060031202500001,Undetected,1,False,3
INC-000090,2023-04-23,16,Koppal,Koppal PS-2,Domestic Violence,repeat household dispute,15.35754,76.10318,ACC-05963,90,48,T,False,4.7,1,20,261,65.5,6.6,4,6,True,True,144200116202300002,Charge Sheeted,1,False,12
INC-000091,2024-03-05,23,Belagavi,Belagavi PS-4,Vehicle Theft,duplicate key,15.78192,74.52949,ACC-03693,91,6,F,False,1.6,1,24,316,73.9,5.2,3,1,False,False,144040022202400001,Charge Sheeted,1,False,16
INC-000092,2024-08-21,22,Hassan,Hassan PS-1,Cyber Fraud,fake investment call,12.99502,76.11867,ACC-06031,92,35,M,False,3.4,1,18,320,78.3,4.6,8,2,False,False,144180103202400002,Closed,1,False,10
INC-000093,2023-10-31,23,Dakshina Kannada,Dakshina Kannada PS-3,Assault,workplace dispute,12.92937,74.87626,ACC-03346,93,27,F,False,3.6,0,45,619,88.6,3.9,10,1,False,False,144030015202300001,Under Investigation,1,False,4
INC-000094,2024-04-20,21,Udupi,Udupi PS-6,Theft,shop-lifting,13.31564,74.75949,ACC-08513,94,46,F,False,2.3,0,27,407,86.2,3.4,4,5,True,False,144100060202400001,Under Investigation,1,False,1
INC-000095,2025-09-18,23,Udupi,Udupi PS-1,Kidnapping,ransom motive,13.31642,74.61981,ACC-04720,95,7,M,True,7.3,1,27,407,86.2,3.4,9,3,False,False,144100055202500001,Charge Sheeted,-1,True,1
INC-000096,2024-01-13,20,Mandya,Mandya PS-2,Assault,workplace dispute,12.62479,76.91542,ACC-00568,96,45,M,False,4.0,0,17,460,71.9,5.1,1,5,True,False,144190110202400002,Under Investigation,1,False,18
INC-000097,2024-10-17,21,Bagalkot,Bagalkot PS-1,Cyber Fraud,SIM swap,16.21535,75.57798,ACC-08948,97,38,T,False,3.9,1,22,316,68.8,6.0,10,3,False,False,844160091202400001,Closed,1,False,19
INC-000098,2024-09-22,23,Dakshina Kannada,Dakshina Kannada PS-4,Theft,opportunistic pickpocketing,13.05034,74.86691,ACC-01640,98,27,M,False,2.7,0,45,619,88.6,3.9,9,6,True,True,144030016202400002,Under Investigation,1,False,-1
INC-000099,2025-10-01,23,Dakshina Kannada,Dakshina Kannada PS-3,Drug Offense,courier network,12.86273,74.86029,ACC-08381,99,40,F,False,4.8,1,45,619,88.6,3.9,10,2,False,False,144030015202500001,Charge Sheeted,1,False,4
INC-000100,2025-05-01,23,Dakshina Kannada,Dakshina Kannada PS-2,Theft,distraction technique,12.8835,74.83981,ACC-04728,100,27,M,False,1.3,0,45,619,88.6,3.9,5,3,False,False,444030014202500001,Undetected,1,False,4
INC-000101,2024-11-17,23,Chitradurga,Chitradurga PS-6,Burglary,window forced entry,14.16977,76.45018,ACC-04583,101,39,M,True,3.5,1,21,197,73.6,5.4,11,6,True,True,144170102202400001,Charge Sheeted,1,False,5
INC-000102,2024-09-10,16,Hassan,Hassan PS-2,Burglary,forced entry - night,12.93252,75.98968,ACC-04979,102,43,M,False,3.0,0,18,320,78.3,4.6,9,1,False,True,144180104202400002,Under Investigation,1,False,10
INC-000103,2024-05-16,21,Hassan,Hassan PS-4,Vehicle Theft,duplicate key,12.93967,76.24315,ACC-01494,103,35,F,False,2.0,1,18,320,78.3,4.6,5,3,False,True,844180106202400001,Charge Sheeted,1,False,-1
INC-000104,2023-10-05,22,Mandya,Mandya PS-4,Assault,altercation escalation,12.53763,76.84837,ACC-00866,104,60,T,False,2.8,0,17,460,71.9,5.1,10,3,False,False,144190112202300001,Undetected,1,False,18
INC-000105,2024-10-22,23,Belagavi,Belagavi PS-5,Vehicle Theft,duplicate key,15.81903,74.43832,ACC-04932,105,34,F,False,1.5,1,24,316,73.9,5.2,10,1,False,False,144040023202400001,Charge Sheeted,1,False,16
INC-000106,2025-12-12,11,Dharwad,Dharwad PS-5,Burglary,forced entry - night,15.55067,74.99832,ACC-01867,106,19,M,False,2.8,0,56,439,80.5,5.7,12,4,False,True,144050029202500001,Under Investigation,1,False,2
INC-000107,2023-12-19,23,Koppal,Koppal PS-6,Robbery,armed - two person,15.3591,76.0774,ACC-00471,107,29,M,True,5.2,0,20,261,65.5,6.6,12,1,False,False,844200120202300001,Under Investigation,1,False,12
INC-000108,2023-06-09,18,Dharwad,Dharwad PS-3,Cyber Fraud,UPI phishing,15.36871,74.99306,ACC-00981,108,6,M,False,3.3,0,56,439,80.5,5.7,6,4,False,True,144050027202300001,Under Investigation,1,False,2
INC-000109,2024-02-25,18,Bengaluru Urban,Bengaluru Urban PS-3,Cyber Fraud,SIM swap,13.01337,77.70554,ACC-03277,109,30,T,False,1.6,0,91,4381,87.7,6.1,2,6,True,False,144010003202400002,Under Investigation,1,False,8
INC-000110,2025-12-19,23,Belagavi,Belagavi PS-6,Domestic Violence,repeat household dispute,15.85325,74.49854,ACC-03138,110,36,T,False,4.9,1,24,316,73.9,5.2,12,4,False,False,144040024202500003,Closed,1,False,16
INC-000111,2025-11-19,17,Bidar,Bidar PS-2,Extortion,business intimidation,17.87759,77.51793,ACC-01848,111,24,M,False,5.3,1,21,316,70.5,6.8,11,2,False,False,144120068202500001,Charge Sheeted,1,False,11
INC-000112,2025-06-28,18,Koppal,Koppal PS-6,Cyber Fraud,OTP scam,15.44494,75.99574,ACC-06672,112,51,T,False,1.9,0,20,261,65.5,6.6,6,5,True,False,144200120202500002,Under Investigation,1,False,-1
INC-000113,2023-06-24,18,Mysuru,Mysuru PS-3,Theft,snatch-and-run,12.27351,76.55495,ACC-02248,113,18,T,False,1.8,0,51,493,72.6,4.8,6,5,True,True,144020009202300001,Under Investigation,1,False,9
INC-000114,2025-10-19,23,Belagavi,Belagavi PS-1,Theft,distraction technique,15.92599,74.541,ACC-04472,114,26,F,False,2.5,0,24,316,73.9,5.2,10,6,True,False,144040019202500001,Undetected,1,False,16
INC-000115,2023-10-03,13,Dakshina Kannada,Dakshina Kannada PS-4,Burglary,window forced entry,12.95688,74.84158,ACC-04840,115,43,M,False,3.7,0,45,619,88.6,3.9,10,1,False,True,144030016202300001,Under Investigation,1,False,4
INC-000116,2025-10-01,18,Chikkamagaluru,Chikkamagaluru PS-5,Theft,snatch-and-run,13.38566,75.70714,ACC-08887,116,42,F,False,1.7,1,19,191,81.9,4.1,10,2,False,False,144150089202500001,Charge Sheeted,1,False,13
INC-000117,2023-12-03,21,Hassan,Hassan PS-5,Vehicle Theft,duplicate key,12.93213,76.15184,ACC-02203,117,26,F,False,1.6,1,18,320,78.3,4.6,12,6,True,False,144180107202300002,Closed,1,False,10
