ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
116,116,Complainant-116,46,7,1,4,F
117,117,Complainant-117,35,8,4,2,M
118,118,Complainant-118,45,6,4,1,F
119,119,Complainant-119,36,1,4,4,F
120,120,Complainant-120,39,6,4,3,M
121,121,Complainant-121,47,4,5,1,M
122,122,Complainant-122,27,7,6,3,M
123,123,Complainant-123,44,5,6,4,M
124,124,Complainant-124,21,5,3,2,F
125,125,Complainant-125,28,4,2,3,M
126,126,Complainant-126,51,6,6,1,F
127,127,Complainant-127,47,4,4,2,M
128,128,Complainant-128,28,6,4,3,F
129,129,Complainant-129,30,4,4,4,M
130,130,Complainant-130,34,6,6,4,M
131,131,Complainant-131,45,3,1,4,M
132,132,Complainant-132,18,8,6,2,F
133,133,Complainant-133,51,4,1,4,M
134,134,Complainant-134,31,2,2,2,M
135,135,Complainant-135,31,1,3,3,M
136,136,Complainant-136,40,7,6,4,F
137,137,Complainant-137,51,1,5,2,F
138,138,Complainant-138,56,6,4,3,F
139,139,Complainant-139,26,1,2,2,M
140,140,Complainant-140,25,8,1,2,M
141,141,Complainant-141,42,8,6,1,F
142,142,Complainant-142,31,1,3,1,F
143,143,Complainant-143,30,2,1,2,M
144,144,Complainant-144,18,6,6,1,F
145,145,Complainant-145,42,7,1,1,F
146,146,Complainant-146,28,4,5,4,F
147,147,Complainant-147,53,5,5,1,M
148,148,Complainant-148,62,4,2,1,F
149,149,Complainant-149,44,6,6,4,F
150,150,Complainant-150,39,2,3,4,M
151,151,Complainant-151,54,2,6,4,F
152,152,Complainant-152,66,7,4,1,F
153,153,Complainant-153,41,8,2,3,F
154,154,Complainant-154,24,2,4,4,F
155,155,Complainant-155,42,6,4,1,M
156,156,Complainant-156,18,2,1,1,M
157,157,Complainant-157,30,6,3,2,M
158,158,Complainant-158,24,3,5,4,M
159,159,Complainant-159,42,6,3,4,M
160,160,Complainant-160,43,6,1,3,M
161,161,Complainant-161,47,7,6,2,F
162,162,Complainant-162,19,2,6,1,F
163,163,Complainant-163,18,3,6,4,M
164,164,Complainant-164,43,3,4,2,F
165,165,Complainant-165,49,7,2,2,M
166,166,Complainant-166,29,6,5,3,M
167,167,Complainant-167,45,5,2,2,F
168,168,Complainant-168,43,8,4,4,M
169,169,Complainant-169,40,2,6,1,M
170,170,Complainant-170,31,2,5,3,F
171,171,Complainant-171,65,3,3,1,M
172,172,Complainant-172,24,4,2,2,F
173,173,Complainant-173,58,4,5,2,F
174,174,Complainant-174,32,8,1,1,F
175,175,Complainant-175,18,1,2,1,F
176,176,Complainant-176,41,5,6,4,F
177,177,Complainant-177,33,3,4,4,F
178,178,Complainant-178,23,1,1,4,F
179,179,Complainant-179,44,4,1,2,F
180,180,Complainant-180,32,4,6,1,F
181,181,Complainant-181,64,8,3,1,M
182,182,Complainant-182,35,7,1,2,M
183,183,Complainant-183,36,2,4,2,F
184,184,Complainant-184,18,6,6,1,M
185,185,Complainant-185,24,7,2,1,F
186,186,Complainant-186,44,4,5,2,F
187,187,Complainant-187,51,5,5,2,M
188,188,Complainant-188,23,6,2,4,F
189,189,Complainant-189,43,1,6,2,M
190,190,Complainant-190,22,2,3,1,M
191,191,Complainant-191,39,6,5,2,M
192,192,Complainant-192,26,8,2,3,F
193,193,Complainant-193,51,7,6,3,F
194,194,Complainant-194,67,3,5,4,M
195,195,Complainant-195,45,8,6,4,F
196,196,Complainant-196,37,6,3,1,M
197,197,Complainant-197,23,6,3,4,M
198,198,Complainant-198,50,4,6,3,F
199,199,Complainant-199,20,8,6,2,F
200,200,Complainant-200,45,7,2,4,F
201,201,Complainant-201,45,5,3,1,M
202,202,Complainant-202,60,6,5,4,F
203,203,Complainant-203,54,1,3,1,M
204,204,Complainant-204,42,8,2,3,M
205,205,Complainant-205,36,6,6,3,F
206,206,Complainant-206,71,5,6,1,M
207,207,Complainant-207,59,1,1,4,F
208,208,Complainant-208,22,4,6,4,M
209,209,Complainant-209,48,8,3,2,M
210,210,Complainant-210,43,7,2,2,F
211,211,Complainant-211,26,3,6,2,M
212,212,Complainant-212,54,3,1,4,F
213,213,Complainant-213,39,8,1,2,F
214,214,Complainant-214,36,7,5,2,M
215,215,Complainant-215,44,3,4,2,M
216,216,Complainant-216,48,6,2,2,M
217,217,Complainant-217,42,4,2,1,M
218,218,Complainant-218,26,8,6,2,F
219,219,Complainant-219,48,7,1,3,M
220,220,Complainant-220,34,6,4,4,F
221,221,Complainant-221,44,7,3,3,F
222,222,Complainant-222,45,5,5,4,M
223,223,Complainant-223,33,5,5,4,F
224,224,Complainant-224,38,3,4,1,M
225,225,Complainant-225,50,4,1,2,M
226,226,Complainant-226,47,1,1,3,M
227,227,Complainant-227,40,4,3,4,F
228,228,Complainant-228,35,6,4,4,F
229,229,Complainant-229,60,7,4,1,F
230,230,Complainant-230,51,3,4,1,F
231,231,Complainant-231,30,8,6,1,M
232,232,Complainant-232,28,7,2,2,F
233,233,Complainant-233,40,1,5,2,F
234,234,Complainant-234,44,8,6,4,M
235,235,Complainant-235,57,4,4,3,F
236,236,Complainant-236,66,5,6,2,M
237,237,Complainant-237,44,7,1,2,F
238,238,Complainant-238,18,1,3,1,M
239,239,Complainant-239,48,7,2,1,M
240,240,Complainant-240,58,7,3,4,F
241,241,Complainant-241,21,5,5,2,M
242,242,Complainant-242,38,4,6,1,M
243,243,Complainant-243,18,2,1,3,F
244,244,Complainant-244,22,2,6,1,M
245,245,Complainant-245,43,5,3,4,M
246,246,Complainant-246,38,7,2,3,F
247,247,Complainant-247,32,3,2,3,M
248,248,Complainant-248,50,5,5,1,M
249,249,Complainant-249,71,3,2,4,F
250,250,Complainant-250,53,5,6,1,F
251,251,Complainant-251,37,7,6,2,F
252,252,Complainant-252,57,1,5,4,M
253,253,Complainant-253,36,2,3,3,F
254,254,Complainant-254,45,8,1,3,M
255,255,Complainant-255,58,2,4,1,M
256,256,Complainant-256,36,1,3,2,M
257,257,Complainant-257,18,7,4,4,M
258,258,Complainant-258,44,1,6,3,F
259,259,Complainant-259,35,5,6,2,F
260,260,Complainant-260,27,7,1,2,M
261,261,Complainant-261,49,5,3,3,F
262,262,Complainant-262,31,6,3,1,M
263,263,Complainant-263,37,4,5,4,M
264,264,Complainant-264,52,3,1,2,M
265,265,Complainant-265,33,3,5,3,M
266,266,Complainant-266,49,7,5,3,M
267,267,Complainant-267,28,3,2,1,M
268,268,Complainant-268,25,1,6,3,F
269,269,Complainant-269,18,3,3,1,M
270,270,Complainant-270,28,4,6,4,F
271,271,Complainant-271,29,4,1,2,M
272,272,Complainant-272,49,1,1,1,M
273,273,Complainant-273,32,3,4,4,M
274,274,Complainant-274,56,7,2,1,M
275,275,Complainant-275,50,2,5,3,M
276,276,Complainant-276,33,6,1,3,F
277,277,Complainant-277,52,2,1,4,F
278,278,Complainant-278,37,7,4,4,F
279,279,Complainant-279,33,8,2,1,M
280,280,Complainant-280,57,7,6,1,F
281,281,Complainant-281,42,3,4,2,F
282,282,Complainant-282,34,3,1,4,F
283,283,Complainant-283,63,1,2,4,M
284,284,Complainant-284,44,2,1,3,F
285,285,Complainant-285,62,8,1,1,F
286,286,Complainant-286,49,2,5,2,M
287,287,Complainant-287,32,6,4,2,F
288,288,Complainant-288,52,8,1,4,F
289,289,Complainant-289,33,8,1,3,F
290,290,Complainant-290,24,1,6,2,M
291,291,Complainant-291,53,2,1,2,M
292,292,Complainant-292,51,6,5,1,F
293,293,Complainant-293,55,8,4,2,F
294,294,Complainant-294,47,1,5,2,M
295,295,Complainant-295,35,8,2,4,M
296,296,Complainant-296,40,6,3,1,F
297,297,Complainant-297,28,7,3,2,M
298,298,Complainant-298,19,7,1,4,M
299,299,Complainant-299,39,2,3,4,F
300,300,Complainant-300,27,1,2,3,F
301,301,Complainant-301,18,3,4,3,M
302,302,Complainant-302,49,3,1,1,F
303,303,Complainant-303,26,5,6,1,F
304,304,Complainant-304,38,2,4,3,M
305,305,Complainant-305,56,3,2,3,M
306,306,Complainant-306,41,1,5,1,M
307,307,Complainant-307,35,8,6,4,F
308,308,Complainant-308,24,8,4,4,F
309,309,Complainant-309,61,5,5,4,F
310,310,Complainant-310,34,6,1,1,F
311,311,Complainant-311,18,2,5,4,F
312,312,Complainant-312,32,4,5,1,F
313,313,Complainant-313,56,2,4,3,F
314,314,Complainant-314,59,1,2,1,F
315,315,Complainant-315,43,2,1,3,M
316,316,Complainant-316,36,8,6,1,M
317,317,Complainant-317,34,2,1,4,M
318,318,Complainant-318,43,2,2,2,F
319,319,Complainant-319,67,2,2,1,F
320,320,Complainant-320,29,6,1,4,F
321,321,Complainant-321,41,2,2,1,M
322,322,Complainant-322,63,8,2,2,M
323,323,Complainant-323,18,2,2,2,F
324,324,Complainant-324,32,1,4,2,F
325,325,Complainant-325,37,5,6,4,F
326,326,Complainant-326,29,7,2,2,F
327,327,Complainant-327,40,5,6,3,F
328,328,Complainant-328,39,5,1,1,F
329,329,Complainant-329,18,1,2,3,M
330,330,Complainant-330,50,5,2,2,F
331,331,Complainant-331,49,5,2,4,F
332,332,Complainant-332,43,7,1,2,F
333,333,Complainant-333,51,5,2,3,M
334,334,Complainant-334,36,1,3,1,F
335,335,Complainant-335,27,3,2,2,F
336,336,Complainant-336,25,2,4,1,F
337,337,Complainant-337,21,2,4,2,M
338,338,Complainant-338,40,7,4,1,F
339,339,Complainant-339,25,5,1,2,F
340,340,Complainant-340,31,5,6,3,F
341,341,Complainant-341,39,1,1,2,M
342,342,Complainant-342,40,5,1,1,M
343,343,Complainant-343,27,5,4,4,F
344,344,Complainant-344,36,2,3,2,F
345,345,Complainant-345,36,3,5,3,M
346,346,Complainant-346,40,7,5,1,M
347,347,Complainant-347,32,1,2,4,M
348,348,Complainant-348,22,4,6,3,F
349,349,Complainant-349,41,7,6,2,F
350,350,Complainant-350,24,1,6,2,M
351,351,Complainant-351,52,2,1,3,M
352,352,Complainant-352,45,2,1,3,F
353,353,Complainant-353,31,8,6,4,M
354,354,Complainant-354,48,4,2,4,M
355,355,Complainant-355,52,7,6,1,M
356,356,Complainant-356,45,1,3,3,M
357,357,Complainant-357,18,1,4,1,F
358,358,Complainant-358,57,1,2,1,M
359,359,Complainant-359,59,1,5,2,F
360,360,Complainant-360,33,6,3,4,F
361,361,Complainant-361,52,6,2,4,M
362,362,Complainant-362,44,2,5,1,F
363,363,Complainant-363,65,6,1,3,M
364,364,Complainant-364,33,5,3,3,F
365,365,Complainant-365,34,5,5,4,M
366,366,Complainant-366,20,4,6,3,M
367,367,Complainant-367,44,3,6,1,M
368,368,Complainant-368,44,7,3,3,F
369,369,Complainant-369,45,2,3,3,F
370,370,Complainant-370,37,1,5,1,M
371,371,Complainant-371,35,8,4,4,F
372,372,Complainant-372,51,2,6,3,M
373,373,Complainant-373,47,5,4,2,F
374,374,Complainant-374,45,3,1,4,F
375,375,Complainant-375,20,8,3,1,M
376,376,Complainant-376,37,7,6,2,M
377,377,Complainant-377,40,6,6,1,F
378,378,Complainant-378,53,1,6,1,F
379,379,Complainant-379,31,5,2,3,F
380,380,Complainant-380,23,4,1,3,M
381,381,Complainant-381,25,2,6,4,M
382,382,Complainant-382,56,4,4,3,F
383,383,Complainant-383,44,5,3,2,M
384,384,Complainant-384,25,3,1,3,F
385,385,Complainant-385,35,2,4,2,M
386,386,Complainant-386,44,5,1,4,F
387,387,Complainant-387,23,3,2,4,M
388,388,Complainant-388,46,4,3,1,M
389,389,Complainant-389,37,4,3,2,F
390,390,Complainant-390,38,3,2,4,M
391,391,Complainant-391,31,7,6,4,F
392,392,Complainant-392,32,5,6,1,F
393,393,Complainant-393,41,1,5,3,F
394,394,Complainant-394,20,5,6,1,M
395,395,Complainant-395,18,3,2,1,F
396,396,Complainant-396,44,6,6,2,F
397,397,Complainant-397,41,4,6,4,M
398,398,Complainant-398,28,2,2,3,M
399,399,Complainant-399,25,3,3,2,F
400,400,Complainant-400,24,3,1,4,M
401,401,Complainant-401,34,5,2,4,F
402,402,Complainant-402,23,2,6,3,M
403,403,Complainant-403,41,7,4,2,F
404,404,Complainant-404,53,1,2,2,F
405,405,Complainant-405,37,8,4,2,F
406,406,Complainant-406,35,3,3,1,F
407,407,Complainant-407,18,7,5,1,F
408,408,Complainant-408,41,4,3,4,M
409,409,Complainant-409,27,2,4,1,F
410,410,Complainant-410,41,5,4,3,M
411,411,Complainant-411,21,6,6,3,M
412,412,Complainant-412,35,5,2,3,F
413,413,Complainant-413,47,3,6,2,F
414,414,Complainant-414,60,2,4,1,F
415,415,Complainant-415,37,5,3,2,M
416,416,Complainant-416,56,7,2,1,F
417,417,Complainant-417,42,6,5,4,F
418,418,Complainant-418,27,8,5,3,M
419,419,Complainant-419,45,5,5,4,M
420,420,Complainant-420,18,6,2,4,F
421,421,Complainant-421,33,8,2,2,F
422,422,Complainant-422,23,7,1,3,M
423,423,Complainant-423,34,8,6,2,F
424,424,Complainant-424,21,3,2,4,M
425,425,Complainant-425,30,8,4,1,F
426,426,Complainant-426,43,4,3,1,F
427,427,Complainant-427,50,5,5,1,M
428,428,Complainant-428,32,3,5,3,F
429,429,Complainant-429,19,8,5,2,F
430,430,Complainant-430,50,1,6,1,F
431,431,Complainant-431,53,4,3,1,F
432,432,Complainant-432,37,4,2,3,M
433,433,Complainant-433,18,5,1,2,M
434,434,Complainant-434,46,4,5,4,F
435,435,Complainant-435,18,7,5,3,F
436,436,Complainant-436,37,8,1,3,F
437,437,Complainant-437,56,2,6,3,M
438,438,Complainant-438,26,4,3,4,F
439,439,Complainant-439,44,3,4,3,M
440,440,Complainant-440,50,8,3,1,M
441,441,Complainant-441,29,7,1,1,M
442,442,Complainant-442,49,2,4,2,F
443,443,Complainant-443,49,8,2,4,F
444,444,Complainant-444,26,6,1,4,M
445,445,Complainant-445,21,8,5,2,M
446,446,Complainant-446,30,1,4,3,M
447,447,Complainant-447,34,4,2,2,F
448,448,Complainant-448,42,6,1,2,F
449,449,Complainant-449,34,2,2,1,M
450,450,Complainant-450,20,1,1,4,F
451,451,Complainant-451,51,8,1,3,F
452,452,Complainant-452,58,5,3,4,M
453,453,Complainant-453,18,1,1,3,M
454,454,Complainant-454,31,7,1,1,F
455,455,Complainant-455,55,2,4,4,M
456,456,Complainant-456,26,5,2,3,F
457,457,Complainant-457,49,3,1,2,M
458,458,Complainant-458,34,6,3,2,F
459,459,Complainant-459,58,8,1,1,F
460,460,Complainant-460,28,6,5,2,M
461,461,Complainant-461,29,3,5,4,M
462,462,Complainant-462,35,5,2,1,M
463,463,Complainant-463,34,4,3,2,F
464,464,Complainant-464,29,4,6,4,F
465,465,Complainant-465,21,5,2,1,M
466,466,Complainant-466,25,6,1,1,M
467,467,Complainant-467,41,7,5,4,M
468,468,Complainant-468,18,7,6,4,M
469,469,Complainant-469,29,6,2,3,F
470,470,Complainant-470,42,8,1,3,F
471,471,Complainant-471,19,6,2,2,F
472,472,Complainant-472,33,5,2,3,F
473,473,Complainant-473,34,8,2,2,M
474,474,Complainant-474,18,7,2,4,F
475,475,Complainant-475,27,3,1,4,F
476,476,Complainant-476,40,1,5,4,M
477,477,Complainant-477,40,4,6,4,F
478,478,Complainant-478,33,7,6,2,M
479,479,Complainant-479,43,7,6,4,M
480,480,Complainant-480,29,6,4,1,F
481,481,Complainant-481,43,2,2,2,F
482,482,Complainant-482,42,3,4,1,M
483,483,Complainant-483,85,8,6,4,F
484,484,Complainant-484,32,2,6,3,F
485,485,Complainant-485,23,5,4,3,M
486,486,Complainant-486,47,1,6,4,M
487,487,Complainant-487,54,1,4,2,M
488,488,Complainant-488,41,3,5,2,F
489,489,Complainant-489,32,7,1,4,M
490,490,Complainant-490,35,5,3,3,M
491,491,Complainant-491,35,7,2,1,M
492,492,Complainant-492,18,6,1,1,M
493,493,Complainant-493,60,6,6,4,M
494,494,Complainant-494,30,3,6,3,F
495,495,Complainant-495,30,1,6,4,F
496,496,Complainant-496,63,6,2,2,F
497,497,Complainant-497,40,7,2,3,M
498,498,Complainant-498,25,4,6,2,M
499,499,Complainant-499,45,7,1,2,M
500,500,Complainant-500,21,6,4,2,M
501,501,Complainant-501,62,3,2,3,M
502,502,Complainant-502,31,7,1,4,M
503,503,Complainant-503,51,7,4,2,M
504,504,Complainant-504,31,3,5,3,F
505,505,Complainant-505,43,5,2,3,M
506,506,Complainant-506,25,1,2,1,M
507,507,Complainant-507,35,6,6,3,M
508,508,Complainant-508,18,6,1,2,M
509,509,Complainant-509,28,2,5,1,M
510,510,Complainant-510,40,7,3,2,F
511,511,Complainant-511,31,2,6,1,M
512,512,Complainant-512,47,4,5,1,F
513,513,Complainant-513,61,2,3,3,M
514,514,Complainant-514,39,3,1,3,F
515,515,Complainant-515,53,3,3,4,M
516,516,Complainant-516,43,5,2,2,F
517,517,Complainant-517,45,8,1,3,M
518,518,Complainant-518,42,7,2,2,F
519,519,Complainant-519,34,4,6,2,M
520,520,Complainant-520,28,2,4,4,M
521,521,Complainant-521,33,4,5,1,F
522,522,Complainant-522,32,5,1,1,F
523,523,Complainant-523,43,5,2,4,F
524,524,Complainant-524,18,6,4,2,F
525,525,Complainant-525,28,2,3,3,F
526,526,Complainant-526,33,3,1,3,M
527,527,Complainant-527,42,6,3,4,F
528,528,Complainant-528,18,6,6,1,F
529,529,Complainant-529,45,6,2,3,F
530,530,Complainant-530,31,4,5,3,M
531,531,Complainant-531,33,8,6,4,F
532,532,Complainant-532,61,1,1,1,M
533,533,Complainant-533,18,5,4,1,F
534,534,Complainant-534,43,5,3,1,F
535,535,Complainant-535,48,5,6,4,M
536,536,Complainant-536,57,4,6,1,F
537,537,Complainant-537,47,6,4,3,F
538,538,Complainant-538,25,3,1,3,M
539,539,Complainant-539,18,1,5,1,M
540,540,Complainant-540,21,6,6,4,M
541,541,Complainant-541,51,2,2,1,M
542,542,Complainant-542,18,6,2,3,F
543,543,Complainant-543,39,6,6,4,M
544,544,Complainant-544,38,6,3,4,M
545,545,Complainant-545,33,1,3,1,F
546,546,Complainant-546,47,7,6,2,F
547,547,Complainant-547,45,8,4,3,F
548,548,Complainant-548,57,3,1,1,M
549,549,Complainant-549,18,7,1,3,M
550,550,Complainant-550,25,8,4,4,M
551,551,Complainant-551,24,4,3,4,M
552,552,Complainant-552,37,7,6,2,M
553,553,Complainant-553,43,5,5,3,F
554,554,Complainant-554,26,6,3,2,M
555,555,Complainant-555,30,5,2,3,F
556,556,Complainant-556,45,6,2,3,M
557,557,Complainant-557,61,7,2,3,M
558,558,Complainant-558,59,5,1,3,M
559,559,Complainant-559,33,4,5,3,F
560,560,Complainant-560,18,5,4,1,M
561,561,Complainant-561,20,8,2,2,M
562,562,Complainant-562,39,7,5,3,F
563,563,Complainant-563,24,4,2,3,F
564,564,Complainant-564,53,6,3,4,M
565,565,Complainant-565,39,4,1,4,F
566,566,Complainant-566,37,3,2,4,F
567,567,Complainant-567,32,2,1,1,F
568,568,Complainant-568,18,1,5,1,F
569,569,Complainant-569,32,2,6,2,M
570,570,Complainant-570,40,6,5,4,F
571,571,Complainant-571,43,6,4,2,M
572,572,Complainant-572,52,8,4,4,F
573,573,Complainant-573,49,7,1,3,F
574,574,Complainant-574,30,6,1,4,F
575,575,Complainant-575,27,2,2,4,F
576,576,Complainant-576,30,4,4,2,F
577,577,Complainant-577,22,4,4,2,F
578,578,Complainant-578,20,3,6,3,M
579,579,Complainant-579,36,3,5,2,M
580,580,Complainant-580,18,2,3,1,F
581,581,Complainant-581,37,4,4,4,M
582,582,Complainant-582,18,8,1,2,M
583,583,Complainant-583,63,1,5,1,M
584,584,Complainant-584,29,2,4,2,F
585,585,Complainant-585,37,5,6,3,M
586,586,Complainant-586,18,4,6,4,F
587,587,Complainant-587,18,5,4,2,F
588,588,Complainant-588,22,8,3,2,M
589,589,Complainant-589,62,6,1,1,F
590,590,Complainant-590,27,8,1,3,F
591,591,Complainant-591,23,5,4,3,M
592,592,Complainant-592,37,5,5,1,F
593,593,Complainant-593,37,7,1,3,M
594,594,Complainant-594,28,2,2,1,M
595,595,Complainant-595,51,5,1,3,M
596,596,Complainant-596,40,8,6,3,M
597,597,Complainant-597,24,4,6,4,F
598,598,Complainant-598,21,8,1,2,M
599,599,Complainant-599,45,1,3,2,F
600,600,Complainant-600,51,2,3,1,M
601,601,Complainant-601,38,5,1,4,M
602,602,Complainant-602,32,3,5,2,M
603,603,Complainant-603,47,4,4,2,M
604,604,Complainant-604,42,5,6,4,M
605,605,Complainant-605,47,1,6,1,F
606,606,Complainant-606,47,6,3,4,F
607,607,Complainant-607,43,1,6,4,F
608,608,Complainant-608,23,4,6,3,F
609,609,Complainant-609,45,3,1,3,F
610,610,Complainant-610,18,4,6,2,F
611,611,Complainant-611,42,5,6,3,M
612,612,Complainant-612,42,7,5,1,M
613,613,Complainant-613,38,2,1,3,M
614,614,Complainant-614,32,1,4,3,M
615,615,Complainant-615,41,7,6,3,F
616,616,Complainant-616,51,4,2,2,M
617,617,Complainant-617,35,7,1,2,F
618,618,Complainant-618,41,8,2,2,F
619,619,Complainant-619,20,5,4,4,M
620,620,Complainant-620,68,1,5,2,M
621,621,Complainant-621,18,7,4,2,M
622,622,Complainant-622,18,1,6,1,M
623,623,Complainant-623,36,1,6,2,F
624,624,Complainant-624,44,3,3,1,F
625,625,Complainant-625,40,2,3,3,M
626,626,Complainant-626,32,1,6,4,M
627,627,Complainant-627,37,2,5,1,F
628,628,Complainant-628,38,4,2,1,M
629,629,Complainant-629,31,7,2,1,F
630,630,Complainant-630,22,6,3,2,F
631,631,Complainant-631,22,2,3,2,M
632,632,Complainant-632,54,4,3,2,F
633,633,Complainant-633,33,1,5,2,M
634,634,Complainant-634,18,8,3,4,M
635,635,Complainant-635,18,6,4,1,M
636,636,Complainant-636,39,7,3,3,M
637,637,Complainant-637,22,6,1,2,F
638,638,Complainant-638,53,1,6,3,M
639,639,Complainant-639,31,2,6,2,F
640,640,Complainant-640,42,2,3,2,M
641,641,Complainant-641,20,5,3,1,M
642,642,Complainant-642,19,3,4,1,M
643,643,Complainant-643,36,5,5,2,M
644,644,Complainant-644,27,8,1,3,M
645,645,Complainant-645,59,5,2,4,F
646,646,Complainant-646,18,3,6,2,F
647,647,Complainant-647,35,6,4,1,M
648,648,Complainant-648,44,2,2,1,F
649,649,Complainant-649,45,5,6,1,M
650,650,Complainant-650,47,4,1,1,M
651,651,Complainant-651,25,1,4,4,M
652,652,Complainant-652,28,5,4,2,M
653,653,Complainant-653,36,7,1,2,M
654,654,Complainant-654,40,6,6,2,M
655,655,Complainant-655,44,4,4,2,F
656,656,Complainant-656,47,1,6,2,F
657,657,Complainant-657,27,8,5,1,M
658,658,Complainant-658,49,4,3,4,M
659,659,Complainant-659,27,6,4,1,F
660,660,Complainant-660,34,7,5,2,M
661,661,Complainant-661,47,8,1,3,F
