district,date,incident_count,avg_severity,weapon_rate,urbanization,pop_density,literacy,unemployment,rolling_7d_count,day_of_week,month,threshold,high_risk,district_enc
Bagalkot,2023-04-14,1,3.2,0.0,22,316,68.8,6.0,1.4285714285714286,4,4,2.0,0,0
Bagalkot,2023-04-15,1,2.2,0.0,22,316,68.8,6.0,1.4285714285714286,5,4,2.0,0,0
Bagalkot,2023-04-18,3,2.566666666666667,0.0,22,316,68.8,6.0,1.4285714285714286,1,4,2.0,1,0
Bagalkot,2023-04-19,1,4.4,0.0,22,316,68.8,6.0,1.4285714285714286,2,4,2.0,0,0
Bagalkot,2023-04-20,1,2.2,0.0,22,316,68.8,6.0,1.2857142857142858,3,4,2.0,0,0
Bagalkot,2023-04-21,2,2.2,0.0,22,316,68.8,6.0,1.4285714285714286,4,4,2.0,1,0
Bagalkot,2023-04-22,1,4.6,0.0,22,316,68.8,6.0,1.4285714285714286,5,4,2.0,0,0
Bagalkot,2023-04-23,2,3.0999999999999996,0.0,22,316,68.8,6.0,1.5714285714285714,6,4,2.0,1,0
Bagalkot,2023-04-25,1,2.3,0.0,22,316,68.8,6.0,1.5714285714285714,1,4,2.0,0,0
Bagalkot,2023-04-26,2,3.05,0.5,22,316,68.8,6.0,1.4285714285714286,2,4,2.0,1,0
Bagalkot,2023-04-28,1,2.7,0.0,22,316,68.8,6.0,1.4285714285714286,4,4,2.0,0,0
Bagalkot,2023-04-30,1,2.4,0.0,22,316,68.8,6.0,1.4285714285714286,6,4,2.0,0,0
Bagalkot,2023-05-01,2,4.45,0.5,22,316,68.8,6.0,1.4285714285714286,0,5,2.0,1,0
Bagalkot,2023-05-02,2,2.2,0.5,22,316,68.8,6.0,1.5714285714285714,1,5,2.0,1,0
Bagalkot,2023-05-04,1,3.0,0.0,22,316,68.8,6.0,1.4285714285714286,3,5,2.0,0,0
Bagalkot,2023-05-07,2,6.5,0.0,22,316,68.8,6.0,1.5714285714285714,6,5,2.0,1,0
Bagalkot,2023-05-09,1,3.0,0.0,22,316,68.8,6.0,1.4285714285714286,1,5,2.0,0,0
Bagalkot,2023-05-12,1,2.5,0.0,22,316,68.8,6.0,1.4285714285714286,4,5,2.0,0,0
Bagalkot,2023-05-13,2,1.4,0.0,22,316,68.8,6.0,1.5714285714285714,5,5,2.0,1,0
Bagalkot,2023-05-14,2,2.9000000000000004,0.0,22,316,68.8,6.0,1.5714285714285714,6,5,2.0,1,0
Bagalkot,2023-05-15,3,2.0,0.0,22,316,68.8,6.0,1.7142857142857142,0,5,2.0,1,0
Bagalkot,2023-05-17,1,3.7,0.0,22,316,68.8,6.0,1.7142857142857142,2,5,2.0,0,0
Bagalkot,2023-05-18,1,2.9,0.0,22,316,68.8,6.0,1.5714285714285714,3,5,2.0,0,0
Bagalkot,2023-05-19,1,2.4,1.0,22,316,68.8,6.0,1.5714285714285714,4,5,2.0,0,0
Bagalkot,2023-05-21,2,2.95,0.0,22,316,68.8,6.0,1.7142857142857142,6,5,2.0,1,0
Bagalkot,2023-05-23,1,2.9,0.0,22,316,68.8,6.0,1.5714285714285714,1,5,2.0,0,0
Bagalkot,2023-05-25,2,3.25,0.5,22,316,68.8,6.0,1.5714285714285714,3,5,2.0,1,0
Bagalkot,2023-05-26,4,4.3,0.25,22,316,68.8,6.0,1.7142857142857142,4,5,2.0,1,0
Bagalkot,2023-05-27,1,3.8,0.0,22,316,68.8,6.0,1.7142857142857142,5,5,2.0,0,0
Bagalkot,2023-05-28,2,4.85,0.5,22,316,68.8,6.0,1.8571428571428572,6,5,2.0,1,0
Bagalkot,2023-05-29,1,7.1,1.0,22,316,68.8,6.0,1.8571428571428572,0,5,2.0,0,0
Bagalkot,2023-05-30,1,2.5,0.0,22,316,68.8,6.0,1.7142857142857142,1,5,2.0,0,0
Bagalkot,2023-05-31,1,2.2,0.0,22,316,68.8,6.0,1.7142857142857142,2,5,2.0,0,0
Bagalkot,2023-06-03,1,2.7,0.0,22,316,68.8,6.0,1.5714285714285714,5,6,2.0,0,0
Bagalkot,2023-06-07,1,3.7,1.0,22,316,68.8,6.0,1.1428571428571428,2,6,2.0,0,0
Bagalkot,2023-06-09,1,1.4,0.0,22,316,68.8,6.0,1.1428571428571428,4,6,2.0,0,0
Bagalkot,2023-06-10,2,3.8499999999999996,0.5,22,316,68.8,6.0,1.1428571428571428,5,6,2.0,1,0
Bagalkot,2023-06-12,1,1.4,0.0,22,316,68.8,6.0,1.1428571428571428,0,6,2.0,0,0
Bagalkot,2023-06-13,1,2.3,0.0,22,316,68.8,6.0,1.1428571428571428,1,6,2.0,0,0
Bagalkot,2023-06-14,4,3.5250000000000004,0.5,22,316,68.8,6.0,1.5714285714285714,2,6,2.0,1,0
Bagalkot,2023-06-15,1,2.2,0.0,22,316,68.8,6.0,1.5714285714285714,3,6,2.0,0,0
Bagalkot,2023-06-16,1,3.2,1.0,22,316,68.8,6.0,1.5714285714285714,4,6,2.0,0,0
Bagalkot,2023-06-17,1,9.2,0.0,22,316,68.8,6.0,1.5714285714285714,5,6,2.0,0,0
Bagalkot,2023-06-18,2,1.65,0.0,22,316,68.8,6.0,1.5714285714285714,6,6,2.0,1,0
Bagalkot,2023-06-21,1,2.2,0.0,22,316,68.8,6.0,1.5714285714285714,2,6,2.0,0,0
Bagalkot,2023-06-22,1,5.5,0.0,22,316,68.8,6.0,1.5714285714285714,3,6,2.0,0,0
Bagalkot,2023-06-23,2,4.550000000000001,0.0,22,316,68.8,6.0,1.2857142857142858,4,6,2.0,1,0
Bagalkot,2023-06-27,1,3.9,0.0,22,316,68.8,6.0,1.2857142857142858,1,6,2.0,0,0
Bagalkot,2023-06-28,1,5.0,0.0,22,316,68.8,6.0,1.2857142857142858,2,6,2.0,0,0
Bagalkot,2023-06-30,2,2.7,0.0,22,316,68.8,6.0,1.4285714285714286,4,6,2.0,1,0
Bagalkot,2023-07-01,1,3.2,0.0,22,316,68.8,6.0,1.2857142857142858,5,7,2.0,0,0
Bagalkot,2023-07-03,2,3.0,0.5,22,316,68.8,6.0,1.4285714285714286,0,7,2.0,1,0
Bagalkot,2023-07-04,3,3.4,0.3333333333333333,22,316,68.8,6.0,1.7142857142857142,1,7,2.0,1,0
Bagalkot,2023-07-05,3,1.6666666666666667,0.0,22,316,68.8,6.0,1.8571428571428572,2,7,2.0,1,0
Bagalkot,2023-07-08,1,3.2,0.0,22,316,68.8,6.0,1.8571428571428572,5,7,2.0,0,0
Bagalkot,2023-07-09,1,2.1,0.0,22,316,68.8,6.0,1.8571428571428572,6,7,2.0,0,0
Bagalkot,2023-07-10,1,2.8,0.0,22,316,68.8,6.0,1.7142857142857142,0,7,2.0,0,0
Bagalkot,2023-07-11,3,3.5666666666666664,0.0,22,316,68.8,6.0,2.0,1,7,2.0,1,0
Bagalkot,2023-07-12,2,2.8,0.5,22,316,68.8,6.0,2.0,2,7,2.0,1,0
Bagalkot,2023-07-13,1,5.3,1.0,22,316,68.8,6.0,1.7142857142857142,3,7,2.0,0,0
Bagalkot,2023-07-14,2,3.5999999999999996,0.0,22,316,68.8,6.0,1.5714285714285714,4,7,2.0,1,0
Bagalkot,2023-07-16,3,2.8333333333333335,0.0,22,316,68.8,6.0,1.8571428571428572,6,7,2.0,1,0
Bagalkot,2023-07-18,1,4.7,1.0,22,316,68.8,6.0,1.8571428571428572,1,7,2.0,0,0
Bagalkot,2023-07-20,1,9.1,1.0,22,316,68.8,6.0,1.8571428571428572,3,7,2.0,0,0
Bagalkot,2023-07-24,2,1.2,0.0,22,316,68.8,6.0,1.7142857142857142,0,7,2.0,1,0
Bagalkot,2023-07-26,1,1.7,0.0,22,316,68.8,6.0,1.5714285714285714,2,7,2.0,0,0
Bagalkot,2023-07-27,1,1.7,0.0,22,316,68.8,6.0,1.5714285714285714,3,7,2.0,0,0
Bagalkot,2023-07-28,4,3.775,0.0,22,316,68.8,6.0,1.8571428571428572,4,7,2.0,1,0
Bagalkot,2023-07-29,1,4.7,1.0,22,316,68.8,6.0,1.5714285714285714,5,7,2.0,0,0
Bagalkot,2023-08-01,1,7.2,1.0,22,316,68.8,6.0,1.5714285714285714,1,8,2.0,0,0
Bagalkot,2023-08-02,1,3.6,0.0,22,316,68.8,6.0,1.5714285714285714,2,8,2.0,0,0
Bagalkot,2023-08-03,2,5.95,0.5,22,316,68.8,6.0,1.5714285714285714,3,8,2.0,1,0
Bagalkot,2023-08-04,1,4.5,0.0,22,316,68.8,6.0,1.5714285714285714,4,8,2.0,0,0
Bagalkot,2023-08-06,1,2.6,0.0,22,316,68.8,6.0,1.5714285714285714,6,8,2.0,0,0
Bagalkot,2023-08-07,2,2.9000000000000004,0.0,22,316,68.8,6.0,1.2857142857142858,0,8,2.0,1,0
Bagalkot,2023-08-10,1,1.7,0.0,22,316,68.8,6.0,1.2857142857142858,3,8,2.0,0,0
Bagalkot,2023-08-11,1,2.8,0.0,22,316,68.8,6.0,1.2857142857142858,4,8,2.0,0,0
Bagalkot,2023-08-13,1,2.3,0.0,22,316,68.8,6.0,1.2857142857142858,6,8,2.0,0,0
Bagalkot,2023-08-17,1,2.4,0.0,22,316,68.8,6.0,1.1428571428571428,3,8,2.0,0,0
Bagalkot,2023-08-18,1,3.4,0.0,22,316,68.8,6.0,1.1428571428571428,4,8,2.0,0,0
Bagalkot,2023-08-21,1,5.3,1.0,22,316,68.8,6.0,1.1428571428571428,0,8,2.0,0,0
Bagalkot,2023-08-22,1,4.8,0.0,22,316,68.8,6.0,1.0,1,8,2.0,0,0
Bagalkot,2023-08-24,1,1.0,1.0,22,316,68.8,6.0,1.0,3,8,2.0,0,0
Bagalkot,2023-08-26,2,2.1500000000000004,0.0,22,316,68.8,6.0,1.1428571428571428,5,8,2.0,1,0
Bagalkot,2023-08-28,1,3.9,0.0,22,316,68.8,6.0,1.1428571428571428,0,8,2.0,0,0
Bagalkot,2023-08-30,1,2.8,0.0,22,316,68.8,6.0,1.1428571428571428,2,8,2.0,0,0
Bagalkot,2023-09-02,1,1.1,0.0,22,316,68.8,6.0,1.1428571428571428,5,9,2.0,0,0
Bagalkot,2023-09-03,2,7.8,0.5,22,316,68.8,6.0,1.2857142857142858,6,9,2.0,1,0
Bagalkot,2023-09-04,1,3.4,0.0,22,316,68.8,6.0,1.2857142857142858,0,9,2.0,0,0
Bagalkot,2023-09-06,3,2.8666666666666667,0.0,22,316,68.8,6.0,1.5714285714285714,2,9,2.0,1,0
Bagalkot,2023-09-09,2,3.0999999999999996,0.0,22,316,68.8,6.0,1.5714285714285714,5,9,2.0,1,0
Bagalkot,2023-09-10,1,7.2,1.0,22,316,68.8,6.0,1.5714285714285714,6,9,2.0,0,0
Bagalkot,2023-09-11,1,2.3,0.0,22,316,68.8,6.0,1.5714285714285714,0,9,2.0,0,0
Bagalkot,2023-09-16,1,3.8,0.0,22,316,68.8,6.0,1.5714285714285714,5,9,2.0,0,0
Bagalkot,2023-09-18,1,2.1,0.0,22,316,68.8,6.0,1.4285714285714286,0,9,2.0,0,0
Bagalkot,2023-09-21,1,4.8,1.0,22,316,68.8,6.0,1.4285714285714286,3,9,2.0,0,0
Bagalkot,2023-09-22,1,3.2,1.0,22,316,68.8,6.0,1.1428571428571428,4,9,2.0,0,0
Bagalkot,2023-09-23,1,1.8,0.0,22,316,68.8,6.0,1.0,5,9,2.0,0,0
Bagalkot,2023-09-25,1,2.8,0.0,22,316,68.8,6.0,1.0,0,9,2.0,0,0
Bagalkot,2023-09-26,2,2.55,0.0,22,316,68.8,6.0,1.1428571428571428,1,9,2.0,1,0
Bagalkot,2023-09-28,1,1.5,0.0,22,316,68.8,6.0,1.1428571428571428,3,9,2.0,0,0
Bagalkot,2023-09-29,2,2.0,0.0,22,316,68.8,6.0,1.2857142857142858,4,9,2.0,1,0
Bagalkot,2023-09-30,3,2.766666666666667,0.0,22,316,68.8,6.0,1.5714285714285714,5,9,2.0,1,0
Bagalkot,2023-10-03,2,2.0999999999999996,0.0,22,316,68.8,6.0,1.7142857142857142,1,10,2.0,1,0
Bagalkot,2023-10-04,1,1.4,0.0,22,316,68.8,6.0,1.7142857142857142,2,10,2.0,0,0
Bagalkot,2023-10-06,1,4.1,0.0,22,316,68.8,6.0,1.7142857142857142,4,10,2.0,0,0
Bagalkot,2023-10-07,3,4.2,0.0,22,316,68.8,6.0,1.8571428571428572,5,10,2.0,1,0
Bagalkot,2023-10-10,1,3.5,0.0,22,316,68.8,6.0,1.8571428571428572,1,10,2.0,0,0
Bagalkot,2023-10-12,1,3.5,0.0,22,316,68.8,6.0,1.7142857142857142,3,10,2.0,0,0
Bagalkot,2023-10-13,2,3.95,0.0,22,316,68.8,6.0,1.5714285714285714,4,10,2.0,1,0
Bagalkot,2023-10-15,1,2.2,0.0,22,316,68.8,6.0,1.4285714285714286,6,10,2.0,0,0
Bagalkot,2023-10-17,2,4.8500000000000005,0.0,22,316,68.8,6.0,1.5714285714285714,1,10,2.0,1,0
Bagalkot,2023-10-19,3,1.9333333333333333,0.0,22,316,68.8,6.0,1.8571428571428572,3,10,2.0,1,0
Bagalkot,2023-10-20,1,4.0,0.0,22,316,68.8,6.0,1.5714285714285714,4,10,2.0,0,0
Bagalkot,2023-10-21,2,3.2,0.0,22,316,68.8,6.0,1.7142857142857142,5,10,2.0,1,0
Bagalkot,2023-10-22,1,1.5,0.0,22,316,68.8,6.0,1.7142857142857142,6,10,2.0,0,0
Bagalkot,2023-10-23,1,7.9,1.0,22,316,68.8,6.0,1.5714285714285714,0,10,2.0,0,0
Bagalkot,2023-10-25,2,2.95,0.0,22,316,68.8,6.0,1.7142857142857142,2,10,2.0,1,0
Bagalkot,2023-10-26,2,1.85,0.0,22,316,68.8,6.0,1.7142857142857142,3,10,2.0,1,0
Bagalkot,2023-10-28,2,2.75,0.0,22,316,68.8,6.0,1.5714285714285714,5,10,2.0,1,0
Bagalkot,2023-10-29,4,3.075,0.25,22,316,68.8,6.0,2.0,6,10,2.0,1,0
Bagalkot,2023-10-30,1,2.3,0.0,22,316,68.8,6.0,1.8571428571428572,0,10,2.0,0,0
Bagalkot,2023-11-01,2,2.8499999999999996,0.0,22,316,68.8,6.0,2.0,2,11,2.0,1,0
Bagalkot,2023-11-02,2,3.35,0.0,22,316,68.8,6.0,2.142857142857143,3,11,2.0,1,0
Bagalkot,2023-11-03,3,3.266666666666667,0.0,22,316,68.8,6.0,2.2857142857142856,4,11,2.0,1,0
Bagalkot,2023-11-04,3,2.6666666666666665,0.0,22,316,68.8,6.0,2.4285714285714284,5,11,2.0,1,0
Bagalkot,2023-11-08,2,2.85,0.0,22,316,68.8,6.0,2.4285714285714284,2,11,2.0,1,0
Bagalkot,2023-11-11,1,1.6,0.0,22,316,68.8,6.0,2.0,5,11,2.0,0,0
Bagalkot,2023-11-12,2,2.3,0.0,22,316,68.8,6.0,2.142857142857143,6,11,2.0,1,0
Bagalkot,2023-11-13,1,1.7,0.0,22,316,68.8,6.0,2.0,0,11,2.0,0,0
Bagalkot,2023-11-16,3,3.466666666666667,0.0,22,316,68.8,6.0,2.142857142857143,3,11,2.0,1,0
Bagalkot,2023-11-17,1,1.3,0.0,22,316,68.8,6.0,1.8571428571428572,4,11,2.0,0,0
Bagalkot,2023-11-18,1,2.2,0.0,22,316,68.8,6.0,1.5714285714285714,5,11,2.0,0,0
Bagalkot,2023-11-19,2,3.45,0.0,22,316,68.8,6.0,1.5714285714285714,6,11,2.0,1,0
Bagalkot,2023-11-20,3,4.1000000000000005,0.3333333333333333,22,316,68.8,6.0,1.8571428571428572,0,11,2.0,1,0
Bagalkot,2023-11-23,2,7.25,0.5,22,316,68.8,6.0,1.8571428571428572,3,11,2.0,1,0
Bagalkot,2023-11-24,1,4.1,1.0,22,316,68.8,6.0,1.8571428571428572,4,11,2.0,0,0
Bagalkot,2023-11-25,2,2.35,0.0,22,316,68.8,6.0,1.7142857142857142,5,11,2.0,1,0
Bagalkot,2023-11-28,1,4.6,0.0,22,316,68.8,6.0,1.7142857142857142,1,11,2.0,0,0
Bagalkot,2023-11-29,1,3.6,0.0,22,316,68.8,6.0,1.7142857142857142,2,11,2.0,0,0
Bagalkot,2023-12-01,2,2.9,0.0,22,316,68.8,6.0,1.7142857142857142,4,12,2.0,1,0
Bagalkot,2023-12-02,2,1.75,0.0,22,316,68.8,6.0,1.5714285714285714,5,12,2.0,1,0
Bagalkot,2023-12-03,2,3.5,0.5,22,316,68.8,6.0,1.5714285714285714,6,12,2.0,1,0
Bagalkot,2023-12-05,1,2.3,0.0,22,316,68.8,6.0,1.5714285714285714,1,12,2.0,0,0
Bagalkot,2023-12-06,1,3.8,0.0,22,316,68.8,6.0,1.4285714285714286,2,12,2.0,0,0
Bagalkot,2023-12-07,3,2.6333333333333333,0.0,22,316,68.8,6.0,1.7142857142857142,3,12,2.0,1,0
Bagalkot,2023-12-09,3,3.0,0.0,22,316,68.8,6.0,2.0,5,12,2.0,1,0
Bagalkot,2023-12-10,1,9.9,0.0,22,316,68.8,6.0,1.8571428571428572,6,12,2.0,0,0
Bagalkot,2023-12-11,3,3.0666666666666664,0.3333333333333333,22,316,68.8,6.0,2.0,0,12,2.0,1,0
Bagalkot,2023-12-14,2,3.0999999999999996,0.0,22,316,68.8,6.0,2.0,3,12,2.0,1,0
Bagalkot,2023-12-17,1,3.5,0.0,22,316,68.8,6.0,2.0,6,12,2.0,0,0
Bagalkot,2023-12-18,2,3.2,1.0,22,316,68.8,6.0,2.142857142857143,0,12,2.0,1,0
Bagalkot,2023-12-20,1,2.6,0.0,22,316,68.8,6.0,1.8571428571428572,2,12,2.0,0,0
Bagalkot,2023-12-21,2,2.9,0.0,22,316,68.8,6.0,1.7142857142857142,3,12,2.0,1,0
Bagalkot,2023-12-24,2,2.45,0.0,22,316,68.8,6.0,1.8571428571428572,6,12,2.0,1,0
Bagalkot,2023-12-27,1,2.5,0.0,22,316,68.8,6.0,1.5714285714285714,2,12,2.0,0,0
Bagalkot,2023-12-28,2,3.9000000000000004,0.0,22,316,68.8,6.0,1.5714285714285714,3,12,2.0,1,0
Bagalkot,2023-12-29,1,5.7,1.0,22,316,68.8,6.0,1.5714285714285714,4,12,2.0,0,0
Bagalkot,2023-12-31,2,3.55,0.0,22,316,68.8,6.0,1.5714285714285714,6,12,2.0,1,0
Bagalkot,2024-01-03,1,2.3,0.0,22,316,68.8,6.0,1.5714285714285714,2,1,2.0,0,0
Bagalkot,2024-01-04,3,3.1333333333333333,0.3333333333333333,22,316,68.8,6.0,1.7142857142857142,3,1,2.0,1,0
Bagalkot,2024-01-05,1,2.7,0.0,22,316,68.8,6.0,1.5714285714285714,4,1,2.0,0,0
Bagalkot,2024-01-06,1,4.2,1.0,22,316,68.8,6.0,1.5714285714285714,5,1,2.0,0,0
Bagalkot,2024-01-08,2,5.3,0.0,22,316,68.8,6.0,1.5714285714285714,0,1,2.0,1,0
Bagalkot,2024-01-09,1,4.4,0.0,22,316,68.8,6.0,1.5714285714285714,1,1,2.0,0,0
Bagalkot,2024-01-14,3,6.066666666666667,0.6666666666666666,22,316,68.8,6.0,1.7142857142857142,6,1,2.0,1,0
Bagalkot,2024-01-15,3,2.8000000000000003,0.0,22,316,68.8,6.0,2.0,0,1,2.0,1,0
Bagalkot,2024-01-16,1,3.2,0.0,22,316,68.8,6.0,1.7142857142857142,1,1,2.0,0,0
Bagalkot,2024-01-17,2,2.55,0.0,22,316,68.8,6.0,1.8571428571428572,2,1,2.0,1,0
Bagalkot,2024-01-18,1,1.0,0.0,22,316,68.8,6.0,1.8571428571428572,3,1,2.0,0,0
Bagalkot,2024-01-19,1,1.9,0.0,22,316,68.8,6.0,1.7142857142857142,4,1,2.0,0,0
Bagalkot,2024-01-20,1,1.7,0.0,22,316,68.8,6.0,1.7142857142857142,5,1,2.0,0,0
Bagalkot,2024-01-22,1,9.9,1.0,22,316,68.8,6.0,1.4285714285714286,0,1,2.0,0,0
Bagalkot,2024-01-25,1,2.1,1.0,22,316,68.8,6.0,1.1428571428571428,3,1,2.0,0,0
Bagalkot,2024-01-26,1,3.7,0.0,22,316,68.8,6.0,1.1428571428571428,4,1,2.0,0,0
Bagalkot,2024-01-27,1,4.7,0.0,22,316,68.8,6.0,1.0,5,1,2.0,0,0
Bagalkot,2024-01-29,1,1.0,0.0,22,316,68.8,6.0,1.0,0,1,2.0,0,0
Bagalkot,2024-02-01,3,2.4333333333333336,0.3333333333333333,22,316,68.8,6.0,1.2857142857142858,3,2,2.0,1,0
Bagalkot,2024-02-03,1,2.3,0.0,22,316,68.8,6.0,1.2857142857142858,5,2,2.0,0,0
Bagalkot,2024-02-05,2,3.4000000000000004,0.0,22,316,68.8,6.0,1.4285714285714286,0,2,2.0,1,0
Bagalkot,2024-02-06,2,3.5999999999999996,0.5,22,316,68.8,6.0,1.5714285714285714,1,2,2.0,1,0
Bagalkot,2024-02-07,1,4.2,0.0,22,316,68.8,6.0,1.5714285714285714,2,2,2.0,0,0
Bagalkot,2024-02-08,2,2.9000000000000004,0.0,22,316,68.8,6.0,1.7142857142857142,3,2,2.0,1,0
Bagalkot,2024-02-11,1,3.0,0.0,22,316,68.8,6.0,1.7142857142857142,6,2,2.0,0,0
Bagalkot,2024-02-13,1,2.4,0.0,22,316,68.8,6.0,1.4285714285714286,1,2,2.0,0,0
Bagalkot,2024-02-14,1,2.4,0.0,22,316,68.8,6.0,1.4285714285714286,2,2,2.0,0,0
Bagalkot,2024-02-15,2,3.25,0.0,22,316,68.8,6.0,1.4285714285714286,3,2,2.0,1,0
