CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
18,144060036202400001,202400001,2024-12-22,372,36,1,2,2,6,2,6,2024-12-22 18:00:00,2024-12-22 19:00:00,2024-12-23 05:00:00,17.28156,76.82462,Robbery incident reported at Kalaburagi PS-6.
19,844010002202300001,202300001,2023-02-03,86,2,8,2,3,8,1,1,2023-02-03 21:00:00,2023-02-03 22:00:00,2023-02-04 02:00:00,12.96713,77.47947,Cyber Fraud incident reported at Bengaluru Urban PS-2.
20,144120068202400001,202400001,2024-05-26,295,68,1,2,1,2,4,12,2024-05-26 19:00:00,2024-05-26 20:00:00,2024-05-27 06:00:00,17.92849,77.51782,Assault incident reported at Bidar PS-2.
21,144200118202500001,202500001,2025-02-20,67,118,1,2,1,2,4,20,2025-02-20 23:00:00,2025-02-21 00:00:00,2025-02-21 05:00:00,15.30014,76.23897,Assault incident reported at Koppal PS-4.
22,144170098202300001,202300001,2023-11-03,139,98,1,1,1,1,4,17,2023-11-03 15:00:00,2023-11-03 16:00:00,2023-11-03 22:00:00,14.19112,76.40398,Murder incident reported at Chitradurga PS-2.
23,144050030202300001,202300001,2023-04-11,298,30,1,2,2,4,3,5,2023-04-11 14:00:00,2023-04-11 15:00:00,2023-04-11 16:00:00,15.48732,74.95263,Theft incident reported at Dharwad PS-6.
24,144130075202300001,202300001,2023-07-03,18,75,1,2,3,8,1,13,2023-07-03 23:00:00,2023-07-04 00:00:00,2023-07-04 08:00:00,16.13375,77.35995,Cyber Fraud incident reported at Raichur PS-3.
25,144150090202400001,202400001,2024-02-13,255,90,1,1,1,1,1,15,2024-02-13 21:00:00,2024-02-13 22:00:00,2024-02-13 21:00:00,13.36301,75.69778,Murder incident reported at Chikkamagaluru PS-6.
26,144100059202400001,202400001,2024-03-04,284,59,1,2,2,5,1,10,2024-03-04 21:00:00,2024-03-04 22:00:00,2024-03-05 04:00:00,13.36169,74.7013,Burglary incident reported at Udupi PS-5.
27,144060031202400001,202400001,2024-07-09,161,31,1,2,2,6,3,6,2024-07-09 23:00:00,2024-07-10 00:00:00,2024-07-10 09:00:00,17.35813,76.76282,Robbery incident reported at Kalaburagi PS-1.
28,144130075202500002,202500002,2025-12-24,18,75,1,1,1,1,4,13,2025-12-24 23:00:00,2025-12-25 00:00:00,2025-12-24 23:00:00,16.15836,77.4041,Murder incident reported at Raichur PS-3.
29,144060033202400001,202400001,2024-12-28,224,33,1,1,1,1,1,6,2024-12-28 18:00:00,2024-12-28 19:00:00,2024-12-28 18:00:00,17.28448,76.78093,Murder incident reported at Kalaburagi PS-3.
30,144110064202300001,202300001,2023-06-29,238,64,1,2,4,9,2,11,2023-06-29 21:00:00,2023-06-29 22:00:00,2023-06-30 00:00:00,14.51403,75.99398,Domestic Violence incident reported at Davanagere PS-4.
31,144050029202400001,202400001,2024-02-19,333,29,1,2,2,6,4,5,2024-02-19 23:00:00,2024-02-20 00:00:00,2024-02-20 05:00:00,15.40747,74.94355,Robbery incident reported at Dharwad PS-5.
32,144050030202500001,202500001,2025-04-27,396,30,1,2,3,8,4,5,2025-04-27 22:00:00,2025-04-27 23:00:00,2025-04-28 09:00:00,15.45453,74.95699,Cyber Fraud incident reported at Dharwad PS-6.
33,144200120202400001,202400001,2024-04-17,259,120,1,2,2,7,3,20,2024-04-17 21:00:00,2024-04-17 22:00:00,2024-04-18 04:00:00,15.27996,76.16519,Vehicle Theft incident reported at Koppal PS-6.
34,144080046202300001,202300001,2023-01-31,10,46,1,1,1,1,1,8,2023-01-31 20:00:00,2023-01-31 21:00:00,2023-01-31 23:00:00,13.86132,75.58957,Murder incident reported at Shivamogga PS-4.
35,144140081202500001,202500001,2025-02-18,65,81,1,2,2,5,2,14,2025-02-18 13:00:00,2025-02-18 14:00:00,2025-02-18 21:00:00,13.08043,78.1607,Burglary incident reported at Kolar PS-3.
36,844170100202300001,202300001,2023-03-22,210,100,8,2,2,6,1,17,2023-03-22 22:00:00,2023-03-22 23:00:00,2023-03-23 05:00:00,14.29323,76.45524,Robbery incident reported at Chitradurga PS-4.
37,144200117202300001,202300001,2023-10-19,384,117,1,2,5,10,1,20,2023-10-19 16:00:00,2023-10-19 17:00:00,2023-10-20 01:00:00,15.34049,76.12568,Drug Offense incident reported at Koppal PS-3.
38,144150089202400001,202400001,2024-02-18,45,89,1,2,2,6,4,15,2024-02-18 23:00:00,2024-02-19 00:00:00,2024-02-19 11:00:00,13.21934,75.74368,Robbery incident reported at Chikkamagaluru PS-5.
39,144030016202500001,202500001,2025-11-13,348,16,1,2,2,6,3,3,2025-11-13 16:00:00,2025-11-13 17:00:00,2025-11-13 21:00:00,12.95488,74.81218,Robbery incident reported at Dakshina Kannada PS-4.
40,144150090202300001,202300001,2023-09-27,255,90,1,2,2,4,2,15,2023-09-27 23:00:00,2023-09-28 00:00:00,2023-09-28 06:00:00,13.35414,75.65049,Theft incident reported at Chikkamagaluru PS-6.
41,144080046202400001,202400001,2024-03-01,10,46,1,2,3,8,1,8,2024-03-01 16:00:00,2024-03-01 17:00:00,2024-03-01 16:00:00,13.92302,75.5984,Cyber Fraud incident reported at Shivamogga PS-4.
42,144060031202300001,202300001,2023-12-30,161,31,1,2,3,8,1,6,2023-12-30 17:00:00,2023-12-30 18:00:00,2023-12-30 22:00:00,17.2905,76.94023,Cyber Fraud incident reported at Kalaburagi PS-1.
43,144040024202500001,202500001,2025-12-15,199,24,1,2,3,8,1,4,2025-12-15 23:00:00,2025-12-16 00:00:00,2025-12-16 10:00:00,15.91165,74.40654,Cyber Fraud incident reported at Belagavi PS-6.
44,844090049202400001,202400001,2024-12-25,309,49,8,2,2,6,2,9,2024-12-25 22:00:00,2024-12-25 23:00:00,2024-12-26 00:00:00,13.38438,77.06168,Robbery incident reported at Tumakuru PS-1.
45,844170100202500001,202500001,2025-04-27,47,100,8,2,3,8,1,17,2025-04-27 18:00:00,2025-04-27 19:00:00,2025-04-27 21:00:00,14.15023,76.49594,Cyber Fraud incident reported at Chitradurga PS-4.
46,144010004202500001,202500001,2025-03-22,34,4,1,2,1,2,3,1,2025-03-22 23:00:00,2025-03-23 00:00:00,2025-03-23 09:00:00,12.88545,77.66439,Assault incident reported at Bengaluru Urban PS-4.
47,144180105202500001,202500001,2025-04-27,9,105,1,2,4,9,3,18,2025-04-27 20:00:00,2025-04-27 21:00:00,2025-04-28 01:00:00,12.97119,76.10059,Domestic Violence incident reported at Hassan PS-3.
48,144130075202500003,202500003,2025-03-08,312,75,1,2,2,7,3,13,2025-03-08 23:00:00,2025-03-09 00:00:00,2025-03-09 04:00:00,16.13333,77.47428,Vehicle Theft incident reported at Raichur PS-3.
49,144170100202300001,202300001,2023-03-18,47,100,1,2,2,4,2,17,2023-03-18 21:00:00,2023-03-18 22:00:00,2023-03-19 05:00:00,14.18774,76.38551,Theft incident reported at Chitradurga PS-4.
50,144170101202300001,202300001,2023-03-16,95,101,1,2,3,8,1,17,2023-03-16 21:00:00,2023-03-16 22:00:00,2023-03-17 06:00:00,14.18353,76.45198,Cyber Fraud incident reported at Chitradurga PS-5.
51,144010003202400001,202400001,2024-03-05,82,3,1,2,2,6,3,1,2024-03-05 15:00:00,2024-03-05 16:00:00,2024-03-06 01:00:00,12.93799,77.63944,Robbery incident reported at Bengaluru Urban PS-3.
52,144180103202400001,202400001,2024-12-18,15,103,1,2,2,5,1,18,2024-12-18 23:00:00,2024-12-19 00:00:00,2024-12-19 02:00:00,12.97171,76.12923,Burglary incident reported at Hassan PS-1.
53,144010005202300001,202300001,2023-08-05,106,5,1,2,2,5,2,1,2023-08-05 23:00:00,2023-08-06 00:00:00,2023-08-06 08:00:00,13.02041,77.67293,Burglary incident reported at Bengaluru Urban PS-5.
54,844180107202500001,202500001,2025-08-11,296,107,8,2,1,2,2,18,2025-08-11 21:00:00,2025-08-11 22:00:00,2025-08-12 04:00:00,12.99939,76.10222,Assault incident reported at Hassan PS-5.
55,144060035202400001,202400001,2024-10-27,27,35,1,2,3,8,2,6,2024-10-27 14:00:00,2024-10-27 15:00:00,2024-10-27 16:00:00,17.25685,76.90379,Cyber Fraud incident reported at Kalaburagi PS-5.
56,144180104202400001,202400001,2024-05-03,150,104,1,2,2,5,1,18,2024-05-03 19:00:00,2024-05-03 20:00:00,2024-05-03 22:00:00,12.95336,76.10095,Burglary incident reported at Hassan PS-2.
57,144190110202500001,202500001,2025-08-06,85,110,1,2,4,9,4,19,2025-08-06 15:00:00,2025-08-06 16:00:00,2025-08-06 16:00:00,12.50492,76.92058,Domestic Violence incident reported at Mandya PS-2.
58,844050027202300001,202300001,2023-01-01,114,27,8,2,4,9,2,5,2023-01-01 21:00:00,2023-01-01 22:00:00,2023-01-02 04:00:00,15.42848,74.97954,Domestic Violence incident reported at Dharwad PS-3.
59,844140079202300001,202300001,2023-07-02,283,79,8,2,3,8,1,14,2023-07-02 16:00:00,2023-07-02 17:00:00,2023-07-02 21:00:00,13.12389,78.14845,Cyber Fraud incident reported at Kolar PS-1.
60,144080043202400001,202400001,2024-10-13,379,43,1,2,2,5,3,8,2024-10-13 19:00:00,2024-10-13 20:00:00,2024-10-14 02:00:00,13.86975,75.56699,Burglary incident reported at Shivamogga PS-1.
61,144010006202500001,202500001,2025-09-23,167,6,1,2,1,2,2,1,2025-09-23 22:00:00,2025-09-23 23:00:00,2025-09-24 05:00:00,13.06356,77.58807,Assault incident reported at Bengaluru Urban PS-6.
62,144080047202500001,202500001,2025-10-17,321,47,1,2,2,4,4,8,2025-10-17 21:00:00,2025-10-17 22:00:00,2025-10-18 06:00:00,13.93066,75.57396,Theft incident reported at Shivamogga PS-5.
63,144030014202400001,202400001,2024-07-26,101,14,1,2,1,2,1,3,2024-07-26 23:00:00,2024-07-27 00:00:00,2024-07-27 09:00:00,12.97166,74.98519,Assault incident reported at Dakshina Kannada PS-2.
64,844160093202400001,202400001,2024-11-09,267,93,8,2,2,5,4,16,2024-11-09 23:00:00,2024-11-10 00:00:00,2024-11-10 10:00:00,16.1206,75.61632,Burglary incident reported at Bagalkot PS-3.
65,144100057202400001,202400001,2024-08-10,302,57,1,2,4,9,1,10,2024-08-10 16:00:00,2024-08-10 17:00:00,2024-08-10 18:00:00,13.34992,74.76261,Domestic Violence incident reported at Udupi PS-3.
66,144190109202500001,202500001,2025-01-27,388,109,1,2,3,8,1,19,2025-01-27 15:00:00,2025-01-27 16:00:00,2025-01-27 23:00:00,12.55372,76.81659,Cyber Fraud incident reported at Mandya PS-1.
67,144130073202300001,202300001,2023-12-09,143,73,1,2,2,4,3,13,2023-12-09 11:00:00,2023-12-09 12:00:00,2023-12-09 11:00:00,16.28883,77.33943,Theft incident reported at Raichur PS-1.
68,344090050202300001,202300001,2023-01-25,188,50,3,2,1,2,2,9,2023-01-25 20:00:00,2023-01-25 21:00:00,2023-01-25 20:00:00,13.34072,77.0903,Assault incident reported at Tumakuru PS-2.
69,144190109202400001,202400001,2024-05-10,388,109,1,2,2,4,4,19,2024-05-10 20:00:00,2024-05-10 21:00:00,2024-05-11 01:00:00,12.55507,76.9385,Theft incident reported at Mandya PS-1.
70,144150086202400001,202400001,2024-05-30,318,86,1,2,2,4,2,15,2024-05-30 21:00:00,2024-05-30 22:00:00,2024-05-31 00:00:00,13.27119,75.86507,Theft incident reported at Chikkamagaluru PS-2.
71,144060032202300001,202300001,2023-06-05,12,32,1,2,2,4,3,6,2023-06-05 23:00:00,2023-06-06 00:00:00,2023-06-06 11:00:00,17.43502,76.81936,Theft incident reported at Kalaburagi PS-2.
72,144090054202400001,202400001,2024-02-15,64,54,1,1,1,3,2,9,2024-02-15 15:00:00,2024-02-15 16:00:00,2024-02-15 21:00:00,13.37906,77.18081,Kidnapping incident reported at Tumakuru PS-6.
73,144010005202300002,202300002,2023-01-02,123,5,1,2,4,9,4,1,2023-01-02 18:00:00,2023-01-02 19:00:00,2023-01-03 03:00:00,13.01465,77.68474,Domestic Violence incident reported at Bengaluru Urban PS-5.
74,144180108202500001,202500001,2025-09-14,278,108,1,2,2,4,3,18,2025-09-14 11:00:00,2025-09-14 12:00:00,2025-09-14 17:00:00,13.00387,76.11944,Theft incident reported at Hassan PS-6.
75,144020009202400001,202400001,2024-09-04,69,9,1,2,5,10,1,2,2024-09-04 13:00:00,2024-09-04 14:00:00,2024-09-04 23:00:00,12.33598,76.6614,Drug Offense incident reported at Mysuru PS-3.
76,144160095202400001,202400001,2024-09-22,338,95,1,2,2,4,1,16,2024-09-22 19:00:00,2024-09-22 20:00:00,2024-09-23 00:00:00,16.22641,75.60756,Theft incident reported at Bagalkot PS-5.
77,144190111202300001,202300001,2023-10-17,105,111,1,2,2,4,1,19,2023-10-17 19:00:00,2023-10-17 20:00:00,2023-10-18 06:00:00,12.46209,76.86258,Theft incident reported at Mandya PS-3.
78,144130078202300001,202300001,2023-08-06,358,78,1,2,2,4,3,13,2023-08-06 16:00:00,2023-08-06 17:00:00,2023-08-06 22:00:00,16.22044,77.33956,Theft incident reported at Raichur PS-6.
79,144190110202400001,202400001,2024-07-14,85,110,1,2,1,3,1,19,2024-07-14 17:00:00,2024-07-14 18:00:00,2024-07-14 20:00:00,12.48965,76.8793,Kidnapping incident reported at Mandya PS-2.
80,144030013202300001,202300001,2023-07-02,314,13,1,1,1,1,3,3,2023-07-02 23:00:00,2023-07-03 00:00:00,2023-07-03 10:00:00,12.89916,74.89059,Murder incident reported at Dakshina Kannada PS-1.
81,144200120202500001,202500001,2025-10-20,138,120,1,2,3,8,1,20,2025-10-20 19:00:00,2025-10-20 20:00:00,2025-10-20 19:00:00,15.29737,76.05841,Cyber Fraud incident reported at Koppal PS-6.
82,144030016202400001,202400001,2024-07-20,4,16,1,2,2,4,4,3,2024-07-20 16:00:00,2024-07-20 17:00:00,2024-07-20 23:00:00,12.84921,74.95723,Theft incident reported at Dakshina Kannada PS-4.
83,144080045202500001,202500001,2025-07-17,381,45,1,2,2,5,3,8,2025-07-17 20:00:00,2025-07-17 21:00:00,2025-07-18 03:00:00,13.87822,75.65949,Burglary incident reported at Shivamogga PS-3.
84,144040024202500002,202500002,2025-04-24,122,24,1,2,2,4,2,4,2025-04-24 15:00:00,2025-04-24 16:00:00,2025-04-24 15:00:00,15.76673,74.55327,Theft incident reported at Belagavi PS-6.
85,144090054202300001,202300001,2023-05-03,64,54,1,2,2,4,1,9,2023-05-03 16:00:00,2023-05-03 17:00:00,2023-05-03 21:00:00,13.30867,77.08176,Theft incident reported at Tumakuru PS-6.
86,144030015202400001,202400001,2024-03-19,216,15,1,2,2,5,3,3,2024-03-19 21:00:00,2024-03-19 22:00:00,2024-03-20 00:00:00,12.91109,74.84166,Burglary incident reported at Dakshina Kannada PS-3.
87,144160092202500001,202500001,2025-05-21,54,92,1,2,3,8,1,16,2025-05-21 22:00:00,2025-05-21 23:00:00,2025-05-22 05:00:00,16.11045,75.67266,Cyber Fraud incident reported at Bagalkot PS-2.
88,144170101202300002,202300002,2023-07-05,95,101,1,2,2,6,4,17,2023-07-05 16:00:00,2023-07-05 17:00:00,2023-07-06 03:00:00,14.25934,76.3522,Robbery incident reported at Chitradurga PS-5.
89,144060031202500001,202500001,2025-08-08,161,31,1,2,3,8,4,6,2025-08-08 21:00:00,2025-08-08 22:00:00,2025-08-09 02:00:00,17.27544,76.87262,Cyber Fraud incident reported at Kalaburagi PS-1.
90,144200116202300002,202300002,2023-04-23,107,116,1,2,4,9,2,20,2023-04-23 16:00:00,2023-04-23 17:00:00,2023-04-24 01:00:00,15.35754,76.10318,Domestic Violence incident reported at Koppal PS-2.
91,144040022202400001,202400001,2024-03-05,197,22,1,2,2,7,2,4,2024-03-05 23:00:00,2024-03-06 00:00:00,2024-03-06 05:00:00,15.78192,74.52949,Vehicle Theft incident reported at Belagavi PS-4.
92,144180103202400002,202400002,2024-08-21,15,103,1,2,3,8,3,18,2024-08-21 22:00:00,2024-08-21 23:00:00,2024-08-21 23:00:00,12.99502,76.11867,Cyber Fraud incident reported at Hassan PS-1.
93,144030015202300001,202300001,2023-10-31,236,15,1,2,1,2,1,3,2023-10-31 23:00:00,2023-11-01 00:00:00,2023-11-01 09:00:00,12.92937,74.87626,Assault incident reported at Dakshina Kannada PS-3.
94,144100060202400001,202400001,2024-04-20,31,60,1,2,2,4,1,10,2024-04-20 21:00:00,2024-04-20 22:00:00,2024-04-21 07:00:00,13.31564,74.75949,Theft incident reported at Udupi PS-6.
95,144100055202500001,202500001,2025-09-18,350,55,1,1,1,3,2,10,2025-09-18 23:00:00,2025-09-19 00:00:00,2025-09-19 06:00:00,13.31642,74.61981,Kidnapping incident reported at Udupi PS-1.
96,144190110202400002,202400002,2024-01-13,85,110,1,2,1,2,1,19,2024-01-13 20:00:00,2024-01-13 21:00:00,2024-01-14 03:00:00,12.62479,76.91542,Assault incident reported at Mandya PS-2.
97,844160091202400001,202400001,2024-10-17,19,91,8,2,3,8,3,16,2024-10-17 21:00:00,2024-10-17 22:00:00,2024-10-18 04:00:00,16.21535,75.57798,Cyber Fraud incident reported at Bagalkot PS-1.
98,144030016202400002,202400002,2024-09-22,376,16,1,2,2,4,1,3,2024-09-22 23:00:00,2024-09-23 00:00:00,2024-09-22 23:00:00,13.05034,74.86691,Theft incident reported at Dakshina Kannada PS-4.
99,144030015202500001,202500001,2025-10-01,236,15,1,2,5,10,2,3,2025-10-01 23:00:00,2025-10-02 00:00:00,2025-10-02 01:00:00,12.86273,74.86029,Drug Offense incident reported at Dakshina Kannada PS-3.
100,444030014202500001,202500001,2025-05-01,101,14,4,2,2,4,4,3,2025-05-01 23:00:00,2025-05-02 00:00:00,2025-05-02 10:00:00,12.8835,74.83981,Theft incident reported at Dakshina Kannada PS-2.
101,144170102202400001,202400001,2024-11-17,185,102,1,2,2,5,2,17,2024-11-17 23:00:00,2024-11-18 00:00:00,2024-11-18 03:00:00,14.16977,76.45018,Burglary incident reported at Chitradurga PS-6.
102,144180104202400002,202400002,2024-09-10,27,104,1,2,2,5,1,18,2024-09-10 16:00:00,2024-09-10 17:00:00,2024-09-11 04:00:00,12.93252,75.98968,Burglary incident reported at Hassan PS-2.
103,844180106202400001,202400001,2024-05-16,73,106,8,2,2,7,2,18,2024-05-16 21:00:00,2024-05-16 22:00:00,2024-05-17 02:00:00,12.93967,76.24315,Vehicle Theft incident reported at Hassan PS-4.
104,144190112202300001,202300001,2023-10-05,103,112,1,2,1,2,4,19,2023-10-05 22:00:00,2023-10-05 23:00:00,2023-10-06 03:00:00,12.53763,76.84837,Assault incident reported at Mandya PS-4.
105,144040023202400001,202400001,2024-10-22,330,23,1,2,2,7,2,4,2024-10-22 23:00:00,2024-10-23 00:00:00,2024-10-23 07:00:00,15.81903,74.43832,Vehicle Theft incident reported at Belagavi PS-5.
106,144050029202500001,202500001,2025-12-12,32,29,1,2,2,5,1,5,2025-12-12 11:00:00,2025-12-12 12:00:00,2025-12-12 13:00:00,15.55067,74.99832,Burglary incident reported at Dharwad PS-5.
107,844200120202300001,202300001,2023-12-19,259,120,8,2,2,6,1,20,2023-12-19 23:00:00,2023-12-20 00:00:00,2023-12-20 10:00:00,15.3591,76.0774,Robbery incident reported at Koppal PS-6.
108,144050027202300001,202300001,2023-06-09,325,27,1,2,3,8,1,5,2023-06-09 18:00:00,2023-06-09 19:00:00,2023-06-10 06:00:00,15.36871,74.99306,Cyber Fraud incident reported at Dharwad PS-3.
109,144010003202400002,202400002,2024-02-25,82,3,1,2,3,8,1,1,2024-02-25 18:00:00,2024-02-25 19:00:00,2024-02-26 05:00:00,13.01337,77.70554,Cyber Fraud incident reported at Bengaluru Urban PS-3.
110,144040024202500003,202500003,2025-12-19,225,24,1,2,4,9,3,4,2025-12-19 23:00:00,2025-12-20 00:00:00,2025-12-19 23:00:00,15.85325,74.49854,Domestic Violence incident reported at Belagavi PS-6.
111,144120068202500001,202500001,2025-11-19,121,68,1,2,2,11,2,12,2025-11-19 17:00:00,2025-11-19 18:00:00,2025-11-20 01:00:00,17.87759,77.51793,Extortion incident reported at Bidar PS-2.
112,144200120202500002,202500002,2025-06-28,259,120,1,2,3,8,1,20,2025-06-28 18:00:00,2025-06-28 19:00:00,2025-06-28 19:00:00,15.44494,75.99574,Cyber Fraud incident reported at Koppal PS-6.
113,144020009202300001,202300001,2023-06-24,294,9,1,2,2,4,1,2,2023-06-24 18:00:00,2023-06-24 19:00:00,2023-06-24 20:00:00,12.27351,76.55495,Theft incident reported at Mysuru PS-3.
114,144040019202500001,202500001,2025-10-19,308,19,1,2,2,4,4,4,2025-10-19 23:00:00,2025-10-20 00:00:00,2025-10-20 04:00:00,15.92599,74.541,Theft incident reported at Belagavi PS-1.
115,144030016202300001,202300001,2023-10-03,222,16,1,2,2,5,1,3,2023-10-03 13:00:00,2023-10-03 14:00:00,2023-10-03 15:00:00,12.95688,74.84158,Burglary incident reported at Dakshina Kannada PS-4.
116,144150089202500001,202500001,2025-10-01,45,89,1,2,2,4,2,15,2025-10-01 18:00:00,2025-10-01 19:00:00,2025-10-02 06:00:00,13.38566,75.70714,Theft incident reported at Chikkamagaluru PS-5.
117,144180107202300002,202300002,2023-12-03,182,107,1,2,2,7,3,18,2023-12-03 21:00:00,2023-12-03 22:00:00,2023-12-04 06:00:00,12.93213,76.15184,Vehicle Theft incident reported at Hassan PS-5.
118,144120072202300001,202300001,2023-05-06,355,72,1,2,4,9,3,12,2023-05-06 16:00:00,2023-05-06 17:00:00,2023-05-07 01:00:00,17.82589,77.4265,Domestic Violence incident reported at Bidar PS-6.
119,144080044202300001,202300001,2023-06-23,116,44,1,2,2,4,1,8,2023-06-23 09:00:00,2023-06-23 10:00:00,2023-06-23 17:00:00,14.03169,75.58076,Theft incident reported at Shivamogga PS-2.
120,844160092202500001,202500001,2025-02-12,227,92,8,2,2,6,1,16,2025-02-12 19:00:00,2025-02-12 20:00:00,2025-02-13 05:00:00,16.2353,75.67355,Robbery incident reported at Bagalkot PS-2.
121,144120072202300002,202300002,2023-06-04,355,72,1,2,5,10,1,12,2023-06-04 21:00:00,2023-06-04 22:00:00,2023-06-05 06:00:00,17.80779,77.43901,Drug Offense incident reported at Bidar PS-6.
122,144090050202500001,202500001,2025-08-31,188,50,1,2,1,2,1,9,2025-08-31 20:00:00,2025-08-31 21:00:00,2025-09-01 08:00:00,13.35875,77.08491,Assault incident reported at Tumakuru PS-2.
123,144090050202400001,202400001,2024-01-05,313,50,1,2,2,7,1,9,2024-01-05 22:00:00,2024-01-05 23:00:00,2024-01-06 09:00:00,13.23574,77.17905,Vehicle Theft incident reported at Tumakuru PS-2.
124,144120067202400001,202400001,2024-09-06,370,67,1,2,2,5,1,12,2024-09-06 23:00:00,2024-09-07 00:00:00,2024-09-07 02:00:00,17.97126,77.40945,Burglary incident reported at Bidar PS-1.
125,144130073202300002,202300002,2023-02-26,143,73,1,2,2,4,2,13,2023-02-26 22:00:00,2023-02-26 23:00:00,2023-02-27 08:00:00,16.16406,77.35751,Theft incident reported at Raichur PS-1.
126,344180107202500001,202500001,2025-09-22,170,107,3,1,1,3,2,18,2025-09-22 15:00:00,2025-09-22 16:00:00,2025-09-22 16:00:00,12.9261,76.03785,Kidnapping incident reported at Hassan PS-5.
127,844190114202400001,202400001,2024-05-30,266,114,8,2,5,10,3,19,2024-05-30 22:00:00,2024-05-30 23:00:00,2024-05-31 03:00:00,12.53529,76.8443,Drug Offense incident reported at Mandya PS-6.
128,144140079202500001,202500001,2025-10-01,385,79,1,2,2,4,3,14,2025-10-01 23:00:00,2025-10-02 00:00:00,2025-10-02 03:00:00,13.13094,78.19876,Theft incident reported at Kolar PS-1.
